"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
0.05,60503.6114502,0,0,0,0.05,31.4926147461,0,0,0
0.1,50952.723999,0,0,0,0.1,31.5231323242,0,0,0
0.15,60972.6544189,0,0,0,0.15,31.462097168,0,0,0
0.2,60151.8292236,0,0,0,0.2,31.5536499023,0,0,0
0.25,59155.112915,0,0,0,0.25,31.4926147461,0,0,0
0.3,60738.1329346,0,0,0,0.3,31.5536499023,0,0,0
0.35,60093.1988525,0,0,0,0.35,31.5231323242,0,0,0
0.4,60620.8721924,0,0,0,0.4,31.4315795898,0,0,0
0.45,60151.8292236,0,0,0,0.45,31.462097168,0,0,0
0.5,60679.5025635,0,0,0,0.5,31.4926147461,0,0,0
0.55,60679.5025635,0,0,0,0.55,31.4315795898,0,0,0
0.6,60386.350708,0,0,0,0.6,31.5231323242,0,0,0
0.65,60738.1329346,0,0,0,0.65,31.462097168,0,0,0
0.7,60620.8721924,0,0,0,0.7,31.5231323242,0,0,0
0.75,60738.1329346,0,0,0,0.75,31.4315795898,0,0,0
0.8,60562.2418213,0,0,0,0.8,31.4926147461,0,0,0
0.85,60562.2418213,0,0,0,0.85,31.4926147461,0,0,0
0.9,60444.9810791,0,0,0,0.9,31.4315795898,0,0,0
0.95,60620.8721924,0,0,0,0.95,31.6452026367,0,0,0
1,60620.8721924,0,0,0,1,31.5536499023,0,0,0
1.05,60562.2418213,0,0,0,1.05,31.4010620117,0,0,0
1.1,60562.2418213,0,0,0,1.1,31.462097168,0,0,0
1.15,60327.7203369,0,0,0,1.15,31.6452026367,0,0,0
1.2,59800.0469971,0,0,0,1.2,31.8588256836,0,0,0
1.25,62435.4821777,0,0,0,1.25,31.7672729492,0,0,0
1.3,56636.9384766,0,0,0,1.3,31.9488525391,0,0,0
1.35,60034.5684814,0,0,0,1.35,32.0709228516,0,0,0
1.4,61614.6569824,0,0,0,1.4,31.9183349609,0,0,0
1.45,59389.6343994,0,0,0,1.45,31.9488525391,0,0,0
1.5,58568.8092041,0,0,0,1.5,32.0404052734,0,0,0
1.55,58744.7003174,0,0,0,1.55,31.7977905273,0,0,0
1.6,60210.4595947,0,0,0,1.6,32.1624755859,0,0,0
1.65,61089.9151611,0,0,0,1.65,32.4371337891,0,0,0
1.7,61907.8088379,0,0,0,1.7,32.8338623047,0,0,-0.010773637358
1.75,60562.2418213,0,0,0,1.75,32.6202392578,0,0,-0.0808022801849
1.8,60562.2418213,0,0,-0.010773637358,1.8,32.5897216797,0,0,-0.414785038283
1.85,57396.2017822,0,0,-0.0861890988639,1.85,32.7423095703,0,-0.0193925472444,-1.21203420277
1.9,56812.8295898,0,0,-0.447105950357,1.9,32.9559326172,0,-0.0872664625997,-2.51025750441
1.95,53529.5288086,0,-0.0193925472444,-1.36286512579,1.95,32.5592041016,0,-0.31028075591,-2.97352391081
2,53470.8984375,0,-0.0969627362219,-2.83885344383,2,34.2666625977,-0.0349065850399,-0.465421133865,-1.87461290029
2.05,52708.7036133,0,-0.339369576777,-3.49604532267,2.05,33.9630126953,-0.0523598775598,-0.504206228354,-0.565615961295
2.1,60151.8292236,-0.0349065850399,-0.562383870087,-2.0254438233,2.1,35.2737426758,-0.0872664625997,-0.494509954732,0.220859565839
2.15,62787.2644043,-0.0698131700798,-0.542991322843,-0.393237763567,2.15,35.2737426758,-0.10471975512,-0.426636039376,-0.0861890988639
2.2,67650.6536865,-0.0872664625997,-0.53329504922,0.0969627362219,2.2,34.9685668945,-0.12217304764,-0.494509954732,-0.678739153553
2.25,69468.1951904,-0.12217304764,-0.523598775598,0.290888208666,2.25,33.1085205078,-0.157079632679,-0.523598775598,-0.797249164491
2.3,70110.1977539,-0.13962634016,-0.513902501976,0.5386818679,2.3,29.7225952148,-0.174532925199,-0.562383870087,-0.969627362219
2.35,71634.5874023,-0.174532925199,-0.48481368111,1.00733509297,2.35,25.5752563477,-0.209439510239,-0.649650332687,-0.560229142615
2.4,69057.7825928,-0.191986217719,-0.387850944888,1.00194827429,2.4,23.2574462891,-0.244346095279,-0.649650332687,0.296275027345
2.45,66595.3070068,-0.209439510239,-0.358762124021,0.511747774504,2.45,22.4349975586,-0.279252680319,-0.572080143709,0.301661846023
