"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0.05,31.4926147461,0,0,0
0.1,31.5231323242,0,0,0
0.15,31.462097168,0,0,0
0.2,31.5536499023,0,0,0
0.25,31.4926147461,0,0,0
0.3,31.5536499023,0,0,0
0.35,31.5231323242,0,0,0
0.4,31.4315795898,0,0,0
0.45,31.462097168,0,0,0
0.5,31.4926147461,0,0,0
0.55,31.4315795898,0,0,0
0.6,31.5231323242,0,0,0
0.65,31.462097168,0,0,0
0.7,31.5231323242,0,0,0
0.75,31.4315795898,0,0,0
0.8,31.4926147461,0,0,0
0.85,31.4926147461,0,0,0
0.9,31.4315795898,0,0,0
0.95,31.6452026367,0,0,0
1,31.5536499023,0,0,0
1.05,31.4010620117,0,0,0
1.1,31.462097168,0,0,0
1.15,31.6452026367,0,0,0
1.2,31.8588256836,0,0,0
1.25,31.7672729492,0,0,0
1.3,31.9488525391,0,0,0
1.35,32.0709228516,0,0,0
1.4,31.9183349609,0,0,0
1.45,31.9488525391,0,0,0
1.5,32.0404052734,0,0,0
1.55,31.7977905273,0,0,0
1.6,32.1624755859,0,0,0
1.65,32.4371337891,0,0,0
1.7,32.8338623047,0,0,-0.010773637358
1.75,32.6202392578,0,0,-0.0808022801849
1.8,32.5897216797,0,0,-0.414785038283
1.85,32.7423095703,0,-0.0193925472444,-1.21203420277
1.9,32.9559326172,0,-0.0872664625997,-2.51025750441
1.95,32.5592041016,0,-0.31028075591,-2.97352391081
2,34.2666625977,-0.0349065850399,-0.465421133865,-1.87461290029
2.05,33.9630126953,-0.0523598775598,-0.504206228354,-0.565615961295
2.1,35.2737426758,-0.0872664625997,-0.494509954732,0.220859565839
2.15,35.2737426758,-0.10471975512,-0.426636039376,-0.0861890988639
2.2,34.9685668945,-0.12217304764,-0.494509954732,-0.678739153553
2.25,33.1085205078,-0.157079632679,-0.523598775598,-0.797249164491
2.3,29.7225952148,-0.174532925199,-0.562383870087,-0.969627362219
