"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0.05,1.72729492188,0,0,0
0.1,1.72729492188,0,0,0
0.15,1.72729492188,0,0,0
0.2,1.72729492188,0,0,0
0.25,1.72729492188,0,0,0
0.3,1.72729492188,0,0,0
0.35,1.72729492188,0,0,0
0.4,1.72729492188,0,0,0
0.45,1.72729492188,0,0,0
0.5,1.69677734375,0,0,0
0.55,1.66625976563,0,0,0
0.6,1.72729492188,0,0,0
0.65,1.72729492188,0,0,0
0.7,1.72729492188,0,0,0
0.75,1.72729492188,0,0,0
0.8,1.69677734375,0,0,0
0.85,1.69677734375,0,0,0
0.9,1.69677734375,0,0,0
0.95,1.69677734375,0,0,0
1,1.69677734375,0,0,0
1.05,1.69677734375,0,0,0
1.1,1.69677734375,0,0,0
1.15,1.69677734375,0,0,0
1.2,1.69677734375,0,0,0
1.25,1.69677734375,0,0,0
1.3,1.69677734375,0,0,-0.00538681867899
1.35,1.69677734375,0,0,-0.048481368111
1.4,1.69677734375,0,0,-0.263954115271
1.45,1.69677734375,0,-0.00969627362219,-0.888825082034
1.5,1.69677734375,0,-0.0581776417331,-2.0254438233
1.55,1.72729492188,0,-0.213318019688,-3.0004580042
1.6,2.09350585938,-0.0174532925199,-0.436332312999,-2.47793659234
1.65,2.67333984375,-0.0523598775598,-0.504206228354,-1.02888236769
1.7,3.80096435547,-0.0698131700798,-0.513902501976,0.059255005469
1.75,4.96063232422,-0.10471975512,-0.48481368111,0.737994159022
1.8,6.21032714844,-0.12217304764,-0.39754721851,0.517134593183
1.85,7.64312744141,-0.13962634016,-0.39754721851,-0.307048664703
1.9,9.35211181641,-0.157079632679,-0.475117407487,-0.339369576777
1.95,11.2426757813,-0.191986217719,-0.475117407487,0.344756395456
2,13.2553100586,-0.209439510239,-0.39754721851,0.344756395456
2.05,15.6036376953,-0.226892802759,-0.39754721851,-0.339369576777
2.1,17.6773071289,-0.244346095279,-0.475117407487,-0.307048664703
2.15,20.0561523438,-0.279252680319,-0.475117407487,0.527908230541
