"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
0.05,99815.2752686,0,0,0,0.05,31.4926147461,0,0,0
0.1,99700.9460449,0,0,0,0.1,31.5231323242,0,0,0
0.15,99700.9460449,0,0,0,0.15,31.462097168,0,0,0
0.2,100049.796753,0,0,0,0.2,31.5536499023,0,0,0
0.25,99873.9056396,0,0,0,0.25,31.4926147461,0,0,0
0.3,99991.1663818,0,0,0,0.3,31.5536499023,0,0,0
0.35,100225.687866,0,0,0,0.35,31.5231323242,0,0,0
0.4,100401.578979,0,0,0,0.4,31.4315795898,0,0,0
0.45,100108.427124,0,0,0,0.45,31.462097168,0,0,0
0.5,100401.578979,0,0,0,0.5,31.4926147461,0,0,0
0.55,100460.209351,0,0,0,0.55,31.4315795898,0,0,0
0.6,100342.948608,0,0,0,0.6,31.5231323242,0,0,0
0.65,100401.578979,0,0,0,0.65,31.462097168,0,0,0
0.7,100460.209351,0,0,0,0.7,31.5231323242,0,0,0
0.75,100460.209351,0,0,0,0.75,31.4315795898,0,0,0
0.8,100460.209351,0,0,0,0.8,31.4926147461,0,0,0
0.85,100460.209351,0,0,0,0.85,31.4926147461,0,0,0
0.9,100401.578979,0,0,0,0.9,31.4315795898,0,0,0
0.95,100987.88269,0,0,0,0.95,31.6452026367,0,0,0
1,102277.750854,0,0,0,1,31.5536499023,0,0,0
1.05,102277.750854,0,0,0,1.05,31.4010620117,0,0,0
1.1,103508.988647,0,0,0,1.1,31.462097168,0,0,0
1.15,103157.206421,0,0,0,1.15,31.6452026367,0,0,0
1.2,102160.490112,0,0,0,1.2,31.8588256836,0,0,0
1.25,101984.598999,0,0,0,1.25,31.7672729492,0,0,0
1.3,102277.750854,0,0,0,1.3,31.9488525391,0,0,0
1.35,103450.358276,0,0,-0.005386818679,1.35,32.0709228516,0,0,0
1.4,105616.750488,0,0,-0.043094549432,1.4,31.9183349609,0,0,0
1.45,105734.01123,0,0,-0.226246384518,1.45,31.9488525391,0,0,0
1.5,106847.988281,0,-0.00969627362219,-0.700286428269,1.5,32.0404052734,0,0,0
1.55,106672.097168,0,-0.048481368111,-1.50830923012,1.55,31.7977905273,0,0,0
1.6,107317.03125,0,-0.174532925199,-1.96618881783,1.6,32.1624755859,0,0,0
1.65,106378.945313,-0.0174532925199,-0.300584482288,-1.33054421371,1.65,32.4371337891,0,0,0
1.7,100284.318237,-0.0349065850399,-0.329673303155,-0.226246384518,1.7,32.8338623047,0,0,-0.010773637358
1.75,97003.9489746,-0.0523598775598,-0.31028075591,0.59255005469,1.75,32.6202392578,0,0,-0.0808022801849
1.8,96300.3845215,-0.0698131700798,-0.22301429331,0.48481368111,1.8,32.5897216797,0,0,-0.414785038283
1.85,94661.6656494,-0.0698131700798,-0.22301429331,-0.312435483381,1.85,32.7423095703,0,-0.0193925472444,-1.21203420277
1.9,94016.7315674,-0.0872664625997,-0.300584482288,-0.339369576776,1.9,32.9559326172,0,-0.0872664625997,-2.51025750441
1.95,92785.4937744,-0.10471975512,-0.300584482288,0.339369576776,1.95,32.5592041016,0,-0.31028075591,-2.97352391081
2,91436.9952393,-0.12217304764,-0.22301429331,0.307048664702,2,34.2666625977,-0.0349065850399,-0.465421133865,-1.87461290029
2.05,89211.9726563,-0.12217304764,-0.22301429331,-0.527908230542,2.05,33.9630126953,-0.0523598775598,-0.504206228354,-0.565615961295
