"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
0.028571,30212.2302246,0,0,0,0.05,31.4926147461,0,0,0
0.057142,30153.5998535,0,0,0,0.1,31.5231323242,0,0,0
0.085713,30212.2302246,0,0,0,0.15,31.462097168,0,0,0
0.114284,30153.5998535,0,0,0,0.2,31.5536499023,0,0,0
0.142855,30153.5998535,0,0,0,0.25,31.4926147461,0,0,0
0.171426,30153.5998535,0,0,0,0.3,31.5536499023,0,0,0
0.199997,30153.5998535,0,0,0,0.35,31.5231323242,0,0,0
0.228568,30270.8605957,0,0,0,0.4,31.4315795898,0,0,0
0.257139,30094.9694824,0,0,0,0.45,31.462097168,0,0,0
0.28571,30212.2302246,0,0,0,0.5,31.4926147461,0,0,0
0.314281,30153.5998535,0,0,0,0.55,31.4315795898,0,0,0
0.342852,30153.5998535,0,0,0,0.6,31.5231323242,0,0,0
0.371423,30212.2302246,0,0,0,0.65,31.462097168,0,0,0
0.399994,30153.5998535,0,0,0,0.7,31.5231323242,0,0,0
0.428565,30212.2302246,0,0,0,0.75,31.4315795898,0,0,0
0.457136,30153.5998535,0,0,0,0.8,31.4926147461,0,0,0
0.485707,30153.5998535,0,0,0,0.85,31.4926147461,0,0,0
0.514278,30153.5998535,0,0,0,0.9,31.4315795898,0,0,0
0.542849,30153.5998535,0,0,0,0.95,31.6452026367,0,0,0
0.57142,30212.2302246,0,0,0,1,31.5536499023,0,0,0
0.599991,30036.3391113,0,0,0,1.05,31.4010620117,0,0,0
0.628562,30212.2302246,0,0,0,1.1,31.462097168,0,0,0
0.657133,30153.5998535,0,0,0,1.15,31.6452026367,0,0,0
0.685704,30212.2302246,0,0,0,1.2,31.8588256836,0,0,0
0.714275,30153.5998535,0,0,0,1.25,31.7672729492,0,0,0
0.742846,30153.5998535,0,0,0,1.3,31.9488525391,0,0,0
0.771417,30270.8605957,0,0,0,1.35,32.0709228516,0,0,0
0.799988,30212.2302246,0,0,-0.0164976271295,1.4,31.9183349609,0,0,0
0.828559,30270.8605957,0,0,-0.115483389907,1.45,31.9488525391,0,0,0
0.85713,30270.8605957,0,0,-0.577416949533,1.5,32.0404052734,0,0,0
0.885701,30329.4909668,0,-0.0169687333698,-1.58377220443,1.55,31.7977905273,0,0,0
0.914272,30212.2302246,0,-0.0678749334793,-3.184042036,1.6,32.1624755859,0,0,0
0.942843,30212.2302246,0,-0.237562267178,-3.64597559563,1.65,32.4371337891,0,0,0
0.971414,30212.2302246,-0.0174532925199,-0.305437200657,-3.15104678174,1.7,32.8338623047,0,0,-0.010773637358
0.999985,30094.9694824,-0.0174532925199,-0.373312134136,-3.76145898553,1.75,32.6202392578,0,0,-0.0808022801849
1.028556,30153.5998535,-0.0349065850399,-0.542999467835,-3.7449613584,1.8,32.5897216797,0,0,-0.414785038283
1.057127,29977.7087402,-0.0523598775598,-0.610874401314,-3.05206101896,1.85,32.7423095703,0,-0.0193925472444,-1.21203420277
1.085698,29860.447998,-0.0698131700798,-0.678749334793,-3.20053966313,1.9,32.9559326172,0,-0.0872664625997,-2.51025750441
1.114269,29743.1872559,-0.0872664625997,-0.831467935122,-2.30966779814,1.95,32.5592041016,0,-0.31028075591,-2.97352391081
1.14284,29743.1872559,-0.12217304764,-0.848436668492,-0.643407458054,2,34.2666625977,-0.0349065850399,-0.465421133865,-1.87461290029
1.171411,29743.1872559,-0.13962634016,-0.763593001643,-2.02920813693,2.05,33.9630126953,-0.0523598775598,-0.504206228354,-0.565615961295
1.199982,29567.2961426,-0.157079632679,-0.933280335341,-4.10790915525,2.1,35.2737426758,-0.0872664625997,-0.494509954732,0.220859565839
1.228553,29508.6657715,-0.191986217719,-1.11993640241,-2.50763932368,2.15,35.2737426758,-0.10471975512,-0.426636039376,-0.0861890988639
1.257124,29274.1442871,-0.226892802759,-1.13690513578,1.03935050916,2.2,34.9685668945,-0.12217304764,-0.494509954732,-0.678739153553
