"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
0.05,448.522338867,0,0,0,0.05,31.4926147461,0,0,0
0.1,448.522338867,0,0,0,0.1,31.5231323242,0,0,0
0.15,448.522338867,0,0,0,0.15,31.462097168,0,0,0
0.2,448.522338867,0,0,0,0.2,31.5536499023,0,0,0
0.25,507.152709961,0,0,0,0.25,31.4926147461,0,0,0
0.3,448.522338867,0,0,0,0.3,31.5536499023,0,0,0
0.35,507.152709961,0,0,0,0.35,31.5231323242,0,0,0
0.4,507.152709961,0,0,0,0.4,31.4315795898,0,0,0
0.45,448.522338867,0,0,0,0.45,31.462097168,0,0,0
0.5,448.522338867,0,0,0,0.5,31.4926147461,0,0,0
0.55,448.522338867,0,0,0,0.55,31.4315795898,0,0,0
0.6,448.522338867,0,0,0,0.6,31.5231323242,0,0,0
0.65,507.152709961,0,0,0,0.65,31.462097168,0,0,0
0.7,448.522338867,0,0,0,0.7,31.5231323242,0,0,0
0.75,448.522338867,0,0,0,0.75,31.4315795898,0,0,0
0.8,448.522338867,0,0,0,0.8,31.4926147461,0,0,0
0.85,448.522338867,0,0,0,0.85,31.4926147461,0,0,0
0.9,448.522338867,0,0,0,0.9,31.4315795898,0,0,0
0.95,507.152709961,0,0,0,0.95,31.6452026367,0,0,0
1,448.522338867,0,0,0,1,31.5536499023,0,0,0
1.05,448.522338867,0,0,0,1.05,31.4010620117,0,0,0
1.1,448.522338867,0,0,0,1.1,31.462097168,0,0,0
1.15,448.522338867,0,0,0,1.15,31.6452026367,0,0,0
1.2,448.522338867,0,0,0,1.2,31.8588256836,0,0,0
1.25,448.522338867,0,0,0,1.25,31.7672729492,0,0,0
1.3,448.522338867,0,0,0,1.3,31.9488525391,0,0,0
1.35,448.522338867,0,0,0,1.35,32.0709228516,0,0,0
1.4,448.522338867,0,0,0,1.4,31.9183349609,0,0,0
1.45,448.522338867,0,0,0,1.45,31.9488525391,0,0,0
1.5,448.522338867,0,0,0,1.5,32.0404052734,0,0,0
1.55,448.522338867,0,0,0,1.55,31.7977905273,0,0,0
1.6,448.522338867,0,0,0,1.6,32.1624755859,0,0,0
1.65,448.522338867,0,0,0,1.65,32.4371337891,0,0,0
1.7,448.522338867,0,0,0,1.7,32.8338623047,0,0,-0.010773637358
1.75,448.522338867,0,0,0,1.75,32.6202392578,0,0,-0.0808022801849
1.8,448.522338867,0,0,0,1.8,32.5897216797,0,0,-0.414785038283
1.85,448.522338867,0,0,0,1.85,32.7423095703,0,-0.0193925472444,-1.21203420277
1.9,448.522338867,0,0,0,1.9,32.9559326172,0,-0.0872664625997,-2.51025750441
1.95,448.522338867,0,0,-0.00538681867899,1.95,32.5592041016,0,-0.31028075591,-2.97352391081
2,448.522338867,0,0,-0.0430945494319,2,34.2666625977,-0.0349065850399,-0.465421133865,-1.87461290029
2.05,448.522338867,0,0,-0.226246384518,2.05,33.9630126953,-0.0523598775598,-0.504206228354,-0.565615961295
2.1,448.522338867,0,-0.00969627362219,-0.700286428269,2.1,35.2737426758,-0.0872664625997,-0.494509954732,0.220859565839
2.15,448.522338867,0,-0.0484813681109,-1.5136960488,2.15,35.2737426758,-0.10471975512,-0.426636039376,-0.0861890988639
2.2,448.522338867,0,-0.174532925199,-2.00928336727,2.2,34.9685668945,-0.12217304764,-0.494509954732,-0.678739153553
2.25,448.522338867,-0.0174532925199,-0.300584482288,-1.55140377955,2.25,33.1085205078,-0.157079632679,-0.523598775598,-0.797249164491
2.3,507.152709961,-0.0349065850399,-0.339369576777,-0.883438263355,2.3,29.7225952148,-0.174532925199,-0.562383870087,-0.969627362219
2.35,565.783081055,-0.0523598775598,-0.358762124021,-0.700286428269,2.35,25.5752563477,-0.209439510239,-0.649650332687,-0.560229142615
2.4,683.043823242,-0.0698131700798,-0.387850944888,-0.861890988639,2.4,23.2574462891,-0.244346095279,-0.649650332687,0.296275027345
2.45,858.934936523,-0.0872664625997,-0.475117407487,-0.533295049221,2.45,22.4349975586,-0.279252680319,-0.572080143709,0.301661846023
2.5,1034.8260498,-0.12217304764,-0.475117407487,0.307048664703,2.5,22.3739624023,-0.296705972839,-0.572080143709,-0.522521411863
2.55,1325.04638672,-0.13962634016,-0.39754721851,0.339369576777,2.55,23.8677978516,-0.331612557879,-0.659346606309,-0.770315071096
2.6,1559.56787109,-0.157079632679,-0.39754721851,-0.339369576777,2.6,25.9414672852,-0.366519142919,-0.688435427176,-0.204699109802
2.65,1794.08935547,-0.174532925199,-0.475117407487,-0.307048664703,2.65,26.1856079102,-0.401425727959,-0.688435427176,0.743380977701
2.7,2087.24121094,-0.209439510239,-0.475117407487,0.527908230542,2.7,26.399230957,-0.436332312999,-0.639954059065,2.17627474631
2.75,2439.0234375,-0.226892802759,-0.387850944888,0.818796439207,2.75,27.0095825195,-0.471238898038,-0.475117407487,3.5122057787
2.8,2732.17529297,-0.244346095279,-0.358762124021,0.474040043752,2.8,26.7044067383,-0.488692190558,-0.22301429331,3.51759259738
2.85,3025.32714844,-0.261799387799,-0.349065850399,0.183151835086,2.85,25.0274658203,-0.488692190558,-0.0581776417331,2.21398247707
2.9,3201.21826172,-0.279252680319,-0.349065850399,0.0377077307529,2.9,24.3255615234,-0.488692190558,-0.00969627362219,0.926532812787
2.95,3553.00048828,-0.296705972839,-0.349065850399,0.005386818679,2.95,24.5086669922,-0.488692190558,0,0.26934093395
3,3904.78271484,-0.314159265359,-0.349065850399,8.10154412692E-014,3,24.7528076172,-0.488692190558,0,0.0484813681109
3.05,4256.56494141,-0.331612557879,-0.349065850399,-6.56573560952E-014,3.05,24.6307373047,-0.488692190558,0,0.00538681867899
3.1,4666.97753906,-0.349065850399,-0.349065850399,5.92427341751E-014,3.1,24.6002197266,-0.488692190558,0,0
3.15,4960.12939453,-0.366519142919,-0.349065850399,1.99624267733E-013,3.15,24.6002197266,-0.488692190558,0,0
3.2,5136.02050781,-0.383972435439,-0.349065850399,7.25345709422E-014,3.2,24.6917724609,-0.488692190558,0,-0.010773637358
3.25,5311.91162109,-0.401425727959,-0.349065850399,0.00538681867892,3.25,24.9664306641,-0.488692190558,0,-0.0808022801849
3.3,5487.80273438,-0.418879020479,-0.349065850399,0.0377077307528,3.3,25.1190185547,-0.488692190558,0,-0.414785038283
3.35,5895.28381348,-0.436332312999,-0.349065850399,0.177765016407,3.35,24.8443603516,-0.488692190558,-0.0193925472444,-1.21742102145
3.4,5953.91418457,-0.453785605519,-0.339369576777,0.436332312999,3.4,24.7528076172,-0.488692190558,-0.0872664625997,-2.54796523516
3.45,6129.80529785,-0.471238898038,-0.31028075591,0.630257785442,3.45,25.4531860352,-0.488692190558,-0.31028075591,-3.15667574589
3.5,5895.28381348,-0.488692190558,-0.232710566933,0.0215472747158,3.5,26.8569946289,-0.523598775598,-0.475117407487,-2.35403976272
3.55,5660.7623291,-0.488692190558,-0.261799387799,-1.26590238956,3.55,24.8748779297,-0.541052068118,-0.542991322843,-1.4113464939
3.6,5487.80273438,-0.506145483078,-0.436332312999,-1.12045828523,3.6,25.0579833984,-0.575958653158,-0.62056151182,-0.414785038282
3.65,5602.13195801,-0.541052068118,-0.455724860243,0.490200499789,3.65,22.8317260742,-0.610865238198,-0.562383870087,0.118510010938
3.7,5836.65344238,-0.558505360638,-0.349065850399,1.44905422465,3.7,23.5931396484,-0.628318530718,-0.562383870087,-0.166991379049
3.75,5953.91418457,-0.575958653158,-0.232710566933,0.96424054354,3.75,23.6236572266,-0.663225115758,-0.62056151182,0.188538653765
3.8,6071.17492676,-0.575958653158,-0.22301429331,-0.129283648296,3.8,23.4710693359,-0.698131700798,-0.552687596465,0.711060065627
3.85,6481.58752441,-0.593411945678,-0.300584482288,-0.301661846024,3.85,22.9522705078,-0.715584993318,-0.523598775598,0.834956895244
3.9,6716.10900879,-0.610865238198,-0.300584482288,0.344756395456,3.9,22.5875854492,-0.750491578358,-0.48481368111,1.10968464787
3.95,7302.41271973,-0.628318530718,-0.22301429331,0.307048664703,3.95,20.3308105469,-0.767944870878,-0.387850944888,0.808022801849
4,7536.9342041,-0.628318530718,-0.22301429331,-0.527908230542,4,19.3542480469,-0.785398163397,-0.368458397643,-0.183151835086
4.05,9061.32385254,-0.645771823238,-0.31028075591,-0.818796439207,4.05,19.1101074219,-0.802851455917,-0.39754721851,-1.31977057635
4.1,9530.36682129,-0.663225115758,-0.339369576777,-0.474040043751,4.1,18.5302734375,-0.820304748437,-0.523598775598,-1.92848108708
4.15,9530.36682129,-0.680678408278,-0.349065850399,-0.188538653765,4.15,17.8604125977,-0.855211333477,-0.649650332687,-1.32515739503
4.2,10172.3693848,-0.698131700798,-0.349065850399,-0.0700286428269,4.2,16.8533325195,-0.890117918517,-0.678739153553,-0.226246384518
4.25,10348.260498,-0.715584993318,-0.349065850399,-0.150830923012,4.25,17.3721313477,-0.925024503557,-0.659346606309,0.592550054689
4.3,10055.1086426,-0.733038285838,-0.358762124021,-0.290888208666,4.3,19.2626953125,-0.959931088597,-0.572080143709,0.495587318468
4.35,9530.36682129,-0.750491578358,-0.378154671265,-0.339369576777,4.35,20.6970214844,-0.977384381117,-0.572080143709,-0.226246384518
4.4,9178.58459473,-0.767944870878,-0.436332312999,0.317822302061,4.4,22.0993041992,-1.01229096616,-0.649650332687,0.113123192259
4.45,8533.6505127,-0.802851455917,-0.349065850399,0.942693268824,4.45,22.9522705078,-1.0471975512,-0.630257785442,1.73994243332
4.5,8181.86828613,-0.802851455917,-0.261799387799,0.140057285654,4.5,23.2269287109,-1.08210413624,-0.475117407487,3.3344407623
4.55,8123.23791504,-0.820304748437,-0.329673303154,-0.813409620529,4.55,24.4476318359,-1.09955742876,-0.22301429331,3.47988486663
4.6,8123.23791504,-0.837758040957,-0.378154671265,-1.10429782919,4.6,24.4476318359,-1.09955742876,-0.0581776417331,2.20859565839
4.65,7947.34680176,-0.855211333477,-0.475117407487,-0.635644604121,4.65,24.2034912109,-1.09955742876,-0.00969627362219,0.926532812787
4.7,7478.30383301,-0.890117918517,-0.475117407487,0.452492769036,4.7,23.5321044922,-1.09955742876,0,0.26934093395
4.75,7419.67346191,-0.907571211037,-0.387850944888,0.770315071096,4.75,23.6541748047,-1.09955742876,0,0.048481368111
4.8,7595.5645752,-0.925024503557,-0.358762124021,0.290888208666,4.8,23.4405517578,-1.09955742876,0,0.005386818679
4.85,7712.82531738,-0.942477796077,-0.358762124021,-0.296275027345,4.85,23.6236572266,-1.09955742876,0,0
4.9,7888.71643066,-0.959931088597,-0.387850944888,-0.813409620528,4.9,23.4710693359,-1.09955742876,0,0
4.95,8416.38977051,-0.977384381117,-0.475117407487,-0.662578697516,4.95,23.4405517578,-1.09955742876,0,0
5,8475.0201416,-1.01229096616,-0.48481368111,0.059255005469,5,23.6236572266,-1.09955742876,0,0
5.05,8768.17199707,-1.02974425868,-0.426636039376,0.226246384518,5.05,23.5626220703,-1.09955742876,0,-0.005386818679
5.1,7830.08605957,-1.0471975512,-0.475117407487,0.684125972232,5.1,23.8372802734,-1.09955742876,0,-0.048481368111
5.15,6657.4786377,-1.08210413624,-0.426636039376,2.18704838367,5.15,23.8372802734,-1.09955742876,0,-0.26934093395
5.2,6305.69641113,-1.09955742876,-0.213318019688,2.85501389987,5.2,23.8067626953,-1.09955742876,-0.00969627362219,-0.926532812787
5.25,6305.69641113,-1.09955742876,-0.0581776417331,1.99312291123,5.25,24.3560791016,-1.09955742876,-0.0581776417331,-2.20859565839
5.3,6305.69641113,-1.09955742876,-0.00969627362219,0.883438263355,5.3,24.1424560547,-1.09955742876,-0.22301429331,-3.47988486663
5.35,6305.69641113,-1.09955742876,0,0.263954115271,5.35,24.4476318359,-1.11701072128,-0.475117407487,-3.3344407623
5.4,6364.32678223,-1.09955742876,0,0.048481368111,5.4,25.0274658203,-1.15191730632,-0.630257785442,-1.73455561464
5.45,6071.17492676,-1.09955742876,0,0.005386818679,5.45,25.3005981445,-1.18682389136,-0.649650332687,-0.0754154615061
5.5,6305.69641113,-1.09955742876,0,0,5.5,25.7583618164,-1.2217304764,-0.572080143709,0.409398219604
5.55,6129.80529785,-1.09955742876,0,0,5.55,27.1011352539,-1.23918376892,-0.562383870087,-0.026934093395
5.6,6129.80529785,-1.09955742876,0,0,5.6,26.9790649414,-1.27409035396,-0.62056151182,0.183151835086
5.65,6071.17492676,-1.09955742876,0,0,5.65,25.178527832,-1.308996939,-0.552687596465,0.527908230542
5.7,6071.17492676,-1.09955742876,0,0,5.7,22.526550293,-1.32645023152,-0.53329504922,0.32320912074
5.75,6129.80529785,-1.09955742876,0,0,5.75,19.7814941406,-1.36135681656,-0.523598775598,0.118510010938
5.8,6129.80529785,-1.09955742876,0,0,5.8,20.7870483398,-1.37881010908,-0.523598775598,-0.118510010938
5.85,6071.17492676,-1.09955742876,0,0,5.85,22.2213745117,-1.41371669412,-0.53329504922,-0.317822302061
5.9,6071.17492676,-1.09955742876,0,-0.005386818679,5.9,22.4044799805,-1.43116998664,-0.552687596465,-0.484813681109
5.95,6129.80529785,-1.09955742876,0,-0.043094549432,5.95,24.2645263672,-1.46607657168,-0.62056151182,0.037707730753
6,6422.95715332,-1.09955742876,0,-0.226246384518,6,26.7654418945,-1.50098315672,-0.552687596465,0.678739153553
6.05,6481.58752441,-1.09955742876,-0.00969627362219,-0.700286428269,6.05,28.4729003906,-1.51843644924,-0.523598775598,0.840343713923
6.1,6481.58752441,-1.09955742876,-0.048481368111,-1.5136960488,6.1,30.0888061523,-1.55334303427,-0.48481368111,1.19587374674
6.15,6716.10900879,-1.09955742876,-0.174532925199,-2.00928336727,6.15,30.4244995117,-1.57079632679,-0.387850944888,1.26051557088
6.2,6129.80529785,-1.11701072128,-0.300584482288,-1.55679059823,6.2,30.4550170898,-1.58824961931,-0.349065850399,1.21742102145
6.25,5660.7623291,-1.1344640138,-0.339369576777,-0.921145994108,6.25,29.9057006836,-1.60570291183,-0.300584482288,1.70223470256
6.3,5429.17236328,-1.15191730632,-0.358762124021,-0.888825082034,6.3,28.5949707031,-1.62315620435,-0.174532925199,2.04160427934
6.35,5194.65087891,-1.16937059884,-0.39754721851,-1.36825194446,6.35,30.2719116211,-1.62315620435,-0.048481368111,1.51908286748
6.4,4549.71679688,-1.18682389136,-0.513902501976,-1.49214877408,6.4,31.0348510742,-1.62315620435,-0.00969627362219,0.700286428269
6.45,3904.78271484,-1.2217304764,-0.610865238198,-0.479426862431,6.45,29.753112793,-1.62315620435,0,0.226246384518
6.5,3377.109375,-1.25663706144,-0.552687596465,0.452492769036,6.5,29.7225952148,-1.62315620435,0,0.043094549432
6.55,3201.21826172,-1.27409035396,-0.523598775598,0.614097329405,6.55,29.0222167969,-1.62315620435,0,0.005386818679
6.6,2849.43603516,-1.308996939,-0.494509954732,0.673352334874,6.6,29.6020507813,-1.62315620435,0,0
6.65,2614.91455078,-1.32645023152,-0.426636039376,0.220859565839,6.65,29.753112793,-1.62315620435,0,0
