"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,-276.610876465,-0.38948059082,-0.142269134521
0.001,-284.61697998,-0.28247833252,-0.125102996826
0.002,-291.681188965,-0.179481506348,-0.107173919678
0.003,-296.390661621,-0.0724792480469,-0.0892448425293
0.004,-300.629187012,0.0345230102539,-0.0709342956543
0.005,-301.571081543,0.137519836426,-0.0533866882324
0.006,-304.396765137,0.248336791992,-0.0343132019043
0.007,-307.22244873,0.351524353027,-0.0160026550293
0.008,-309.106237793,0.454521179199,0.00268936157227
0.009,-309.577185059,0.5615234375,0.0213813781738
0.01,-309.577185059,0.657081604004,0.0400543212891
0.011,-309.106237793,0.75626373291,0.0587463378906
0.012,-309.106237793,0.85563659668,0.0770568847656
0.013,-307.693395996,0.947380065918,0.0957489013672
0.014,-303.454870605,1.03511810303,0.113677978516
0.015,-298.274450684,1.123046875,0.131607055664
0.016,-292.15213623,1.21078491211,0.148773193359
0.017,-283.675085449,1.29108428955,0.165557861328
0.018,-270.959509277,1.3635635376,0.181198120117
0.019,-256.854638672,1.44004821777,0.196838378906
0.02,-249.319482422,1.50108337402,0.211334228516
0.021,-233.778222656,1.5661239624,0.224685668945
0.022,-220.120751953,1.62715911865,0.238018035889
0.023,-198.951672363,1.67675018311,0.249080657959
0.024,-185.29420166,1.72653198242,0.260143280029
0.025,-174.462414551,1.76849365234,0.270442962646
0.026,-163.654174805,1.80282592773,0.279979705811
0.027,-151.880493164,1.83715820313,0.289134979248
0.028,-138.693969727,1.85623168945,0.296764373779
0.029,-124.094604492,1.87549591064,0.304012298584
0.03,-109.518786621,1.89075469971,0.309734344482
0.031,-92.093737793,1.89456939697,0.314693450928
0.032,-76.0815307617,1.89456939697,0.31888961792
0.033,-57.7381347656,1.89075469971,0.321941375732
0.034,-40.3130859375,1.87931060791,0.323848724365
0.035,-21.0277954102,1.86004638672,0.324611663818
0.036,-1.24801025391,1.84097290039,0.324230194092
0.037,18.5317749023,1.806640625,0.322322845459
0.038,34.9913818359,1.77993774414,0.3200340271
0.039,48.6488525391,1.73416137695,0.316219329834
0.04,63.7191650391,1.6881942749,0.312404632568
0.041,78.2949829102,1.63478851318,0.307064056396
0.042,97.6038208008,1.58138275146,0.300579071045
0.043,115.499816895,1.51252746582,0.292568206787
0.044,131.017529297,1.45149230957,0.284938812256
0.045,147.971630859,1.38645172119,0.275783538818
0.046,164.925732422,1.30252838135,0.264720916748
0.047,179.501550293,1.22985839844,0.253658294678
0.048,192.217126465,1.14212036133,0.241451263428
0.049,205.874597168,1.05800628662,0.228862762451
0.05,219.037573242,0.966453552246,0.214767456055
0.051,231.753149414,0.874710083008,0.200271606445
0.052,241.643041992,0.775527954102,0.185775756836
0.053,249.178198242,0.679969787598,0.170516967773
0.054,255.300512695,0.576782226563,0.154876708984
0.055,261.422827148,0.477600097656,0.138854980469
0.056,267.050646973,0.370597839355,0.122451782227
0.057,272.231066895,0.263595581055,0.106430053711
0.058,276.469592285,0.160598754883,0.0892639160156
0.059,280.23717041,0.0497817993164,0.0720977783203
0.06,283.53380127,-0.0572204589844,0.054931640625
0.061,286.359484863,-0.160217285156,0.0377655029297
0.062,287.77232666,-0.267219543457,0.0198554992676
0.063,288.714221191,-0.370407104492,0.00268936157227
0.064,289.656115723,-0.47721862793,-0.014476776123
0.065,290.127062988,-0.580406188965,-0.0324058532715
0.066,288.714221191,-0.675964355469,-0.0499534606934
