"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,-43.6097167969,0.0827789306641
0.001,-44.0806640625,0.08544921875
0.002,-45.4935058594,0.0881195068359
0.003,-46.9063476562,0.0904083251953
0.004,-46.9063476562,0.0934600830078
0.005,-45.0225585937,0.0957489013672
0.006,-42.196875,0.0984191894531
0.007,-39.3711914062,0.100708007813
0.008,-37.0164550781,0.102996826172
0.009,-34.66171875,0.105285644531
0.01,-33.2488769531,0.106811523438
0.011,-31.3650878906,0.10871887207
0.012,-29.0103515625,0.110626220703
0.013,-28.5394042969,0.112152099609
0.014,-28.5394042969,0.113677978516
0.015,-29.0103515625,0.115585327148
0.016,-29.4812988281,0.117492675781
0.017,-30.894140625,0.119018554688
0.018,-31.8360351562,0.121307373047
0.019,-33.2488769531,0.12321472168
0.02,-34.66171875,0.125122070313
0.021,-35.1326660156,0.127410888672
0.022,-35.1326660156,0.129318237305
0.023,-36.0745605469,0.131607055664
0.024,-36.5455078125,0.133895874023
0.025,-36.5455078125,0.136184692383
0.026,-37.4874023437,0.138473510742
0.027,-37.9583496094,0.140380859375
0.028,-37.0164550781,0.143051147461
0.029,-37.0164550781,0.144958496094
0.03,-37.0164550781,0.147247314453
0.031,-36.5455078125,0.149536132813
0.032,-36.0745605469,0.151443481445
0.033,-35.6036132812,0.154113769531
0.034,-35.1326660156,0.156021118164
0.035,-35.1326660156,0.157928466797
0.036,-36.0745605469,0.15983581543
0.037,-36.0745605469,0.162124633789
0.038,-36.0745605469,0.164413452148
0.039,-36.0745605469,0.166320800781
0.04,-36.0745605469,0.168609619141
0.041,-37.0164550781,0.1708984375
0.042,-37.0164550781,0.173187255859
0.043,-37.9583496094,0.175094604492
0.044,-37.9583496094,0.177764892578
0.045,-37.9583496094,0.180053710938
0.046,-38.429296875,0.182723999023
0.047,-38.9002441406,0.184631347656
0.048,-39.3711914062,0.186920166016
0.049,-40.3130859375,0.189590454102
0.05,-40.7840332031,0.191879272461
0.051,-41.2549804687,0.194549560547
0.052,-41.2549804687,0.196838378906
0.053,-42.196875,0.199127197266
0.054,-42.6678222656,0.201797485352
0.055,-43.1387695312,0.204467773438
0.056,-43.6097167969,0.207138061523
0.057,-44.5516113281,0.209426879883
0.058,-45.0225585937,0.212478637695
0.059,-45.4935058594,0.214767456055
0.06,-46.4354003906,0.217819213867
0.061,-46.9063476562,0.220489501953
0.062,-46.9063476562,0.223541259766
0.063,-48.7901367187,0.226955413818
0.064,-51.1448730469,0.229625701904
0.065,-50.6739257812,0.233058929443
0.066,-50.6739257812,0.235729217529
0.067,-51.6158203125,0.239162445068
0.068,-47.8482421875,0.241832733154
0.069,-40.7840332031,0.243740081787
0.07,-34.1907714844,0.246028900146
0.071,-30.894140625,0.247554779053
0.072,-27.5975097656,0.249080657959
0.073,-25.7137207031,0.250606536865
0.074,-23.358984375,0.252132415771
0.075,-23.8299316406,0.253658294678
0.076,-22.4170898437,0.254802703857
0.077,-23.8299316406,0.255947113037
0.078,-26.1846679687,0.25785446167
0.079,-29.0103515625,0.259380340576
0.08,-31.8360351562,0.261669158936
0.081,-33.2488769531,0.263576507568
0.082,-33.7198242187,0.265483856201
0.083,-34.66171875,0.267772674561
0.084,-34.66171875,0.269680023193
0.085,-34.66171875,0.271968841553
0.086,-35.6036132812,0.273494720459
0.087,-37.4874023437,0.276165008545
0.088,-41.7259277344,0.278835296631
0.089,-43.1387695312,0.281505584717
0.09,-40.7840332031,0.284175872803
0.091,-38.9002441406,0.286083221436
0.092,-36.5455078125,0.288372039795
0.093,-35.6036132812,0.289897918701
0.094,-34.1907714844,0.292186737061
0.095,-33.2488769531,0.294094085693
0.096,-32.3069824219,0.296001434326
0.097,-31.8360351562,0.298290252686
0.098,-33.2488769531,0.299816131592
0.099,-32.7779296875,0.302104949951
0.1,-32.3069824219,0.304012298584
0.101,-31.8360351562,0.305919647217
0.102,-31.3650878906,0.30782699585
0.103,-31.3650878906,0.309352874756
0.104,-30.894140625,0.311260223389
0.105,-30.4231933594,0.313167572021
0.106,-30.4231933594,0.315074920654
0.107,-29.4812988281,0.316600799561
0.108,-29.0103515625,0.318508148193
0.109,-29.0103515625,0.320415496826
0.11,-29.0103515625,0.321941375732
0.111,-28.0684570312,0.323848724365
0.112,-28.0684570312,0.325374603271
0.113,-27.5975097656,0.326900482178
0.114,-27.5975097656,0.328426361084
0.115,-27.5975097656,0.32995223999
0.116,-27.1265625,0.331859588623
0.117,-27.5975097656,0.333385467529
0.118,-27.5975097656,0.335292816162
0.119,-27.5975097656,0.336818695068
0.12,-27.5975097656,0.338344573975
0.121,-27.5975097656,0.339870452881
0.122,-27.1265625,0.341777801514
0.123,-27.1265625,0.342922210693
0.124,-27.1265625,0.3444480896
0.125,-27.1265625,0.346355438232
0.126,-27.1265625,0.347881317139
0.127,-26.6556152344,0.349788665771
0.128,-25.2427734375,0.350933074951
0.129,-24.7718261719,0.352458953857
0.13,-24.7718261719,0.353984832764
0.131,-24.3008789062,0.35551071167
0.132,-24.3008789062,0.357036590576
0.133,-23.8299316406,0.358562469482
0.134,-23.358984375,0.359706878662
0.135,-22.8880371094,0.361232757568
0.136,-22.8880371094,0.362377166748
0.137,-23.358984375,0.363521575928
0.138,-23.358984375,0.365047454834
0.139,-23.358984375,0.366191864014
0.14,-22.8880371094,0.36771774292
0.141,-21.9696899414,0.3688621521
0.142,-21.0277954102,0.370388031006
0.143,-19.6149536133,0.371532440186
0.144,-17.2602172852,0.372295379639
0.145,-16.3183227539,0.373439788818
0.146,-14.4345336914,0.374202728271
0.147,-12.5507446289,0.374965667725
0.148,-12.0797973633,0.375347137451
0.149,-11.6088500977,0.376110076904
0.15,-9.25411376953,0.376873016357
0.151,-6.89937744141,0.377254486084
0.152,-6.89937744141,0.377635955811
0.153,-12.5507446289,0.378398895264
0.154,-11.6088500977,0.379161834717
0.155,-7.84127197266,0.379543304443
0.156,-5.95748291016,0.37992477417
0.157,-8.31221923828,0.37992477417
0.158,-9.25411376953,0.380687713623
0.159,-12.5507446289,0.381450653076
0.16,-10.1960083008,0.382213592529
0.161,-6.42843017578,0.382213592529
0.162,-1.71895751953,0.382213592529
0.163,5.81619873047,0.381832122803
0.164,7.69998779297,0.38106918335
0.165,-0.306115722656,0.381450653076
0.166,-2.18990478516,0.38106918335
0.167,-0.306115722656,0.381450653076
0.168,3.93240966797,0.38106918335
0.169,0.164831542969,0.38106918335
0.17,-3.60274658203,0.381450653076
0.171,-4.07369384766,0.381832122803
0.172,-5.01558837891,0.382213592529
0.173,-4.07369384766,0.381832122803
0.174,-10.6669555664,0.382976531982
0.175,-10.1960083008,0.383358001709
0.176,-7.37032470703,0.384120941162
0.177,-12.5507446289,0.384502410889
0.178,-10.6669555664,0.385265350342
0.179,-0.777062988281,0.384883880615
0.18,5.81619873047,0.384883880615
0.181,-4.07369384766,0.385265350342
0.182,-14.905480957,0.386409759521
0.183,-11.137902832,0.386791229248
0.184,-3.13179931641,0.386791229248
0.185,3.93240966797,0.386409759521
0.186,-2.66085205078,0.386409759521
0.187,4.87430419922,0.386028289795
0.188,6.28714599609,0.385646820068
0.189,8.17093505859,0.385265350342
0.19,18.0608276367,0.383739471436
0.191,19.9446166992,0.382213592529
0.192,35.9332763672,0.37992477417
0.193,29.8109619141,0.378398895264
0.194,13.8223022461,0.378017425537
0.195,8.64188232422,0.377254486084
0.196,0.635778808594,0.377635955811
0.197,-7.84127197266,0.378398895264
0.198,-8.78316650391,0.37878036499
0.199,-6.89937744141,0.37878036499
0.2,-15.8473754883,0.37992477417
0.201,-8.31221923828,0.380687713623
0.202,-19.1440063477,0.382213592529
0.203,-36.0745605469,0.384120941162
0.204,-31.8360351562,0.386028289795
0.205,-21.0277954102,0.386791229248
0.206,-10.1960083008,0.387554168701
0.207,-1.71895751953,0.387172698975
0.208,11.9385131836,0.386028289795
0.209,7.69998779297,0.385646820068
0.21,-13.0216918945,0.387172698975
0.211,-26.6556152344,0.389080047607
0.212,-17.7311645508,0.389461517334
0.213,-8.78316650391,0.390224456787
0.214,-28.0684570312,0.392513275146
0.215,-33.2488769531,0.394039154053
0.216,-31.3650878906,0.396327972412
0.217,-28.0684570312,0.397472381592
