"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,96.6619262695,0.0389099121094
0.001,97.1328735352,0.0331878662109
0.002,97.1328735352,0.0267219543457
0.003,97.6038208008,0.0209999084473
0.004,97.6038208008,0.0152778625488
0.005,97.1328735352,0.00955581665039
0.006,97.1328735352,0.00307083129883
0.007,97.1328735352,-0.00226974487305
0.008,97.1328735352,-0.00837326049805
0.009,97.1328735352,-0.0140953063965
0.01,97.1328735352,-0.0201988220215
0.011,97.1328735352,-0.0263023376465
0.012,97.1328735352,-0.0320243835449
0.013,97.1328735352,-0.0377464294434
0.014,97.1328735352,-0.0438499450684
0.015,96.6619262695,-0.0491905212402
0.016,96.6619262695,-0.0552940368652
0.017,96.6619262695,-0.0610160827637
0.018,96.1909790039,-0.0667381286621
0.019,96.6619262695,-0.0728416442871
0.02,96.1909790039,-0.0789451599121
0.021,95.7200317383,-0.0839042663574
0.022,95.2490844727,-0.090389251709
0.023,94.778137207,-0.0957298278809
0.024,95.2490844727,-0.101833343506
0.025,94.778137207,-0.107173919678
0.026,94.3071899414,-0.112895965576
0.027,94.3071899414,-0.119380950928
0.028,93.8362426758,-0.1247215271
0.029,93.3652954102,-0.130062103271
0.03,93.3652954102,-0.135402679443
0.031,92.8943481445,-0.141887664795
0.032,92.8943481445,-0.147228240967
0.033,91.9524536133,-0.152568817139
0.034,91.9524536133,-0.157527923584
0.035,91.4815063477,-0.163631439209
0.036,91.010559082,-0.169334411621
0.037,91.010559082,-0.174674987793
0.038,90.0686645508,-0.180015563965
0.039,89.5977172852,-0.185737609863
0.04,88.6558227539,-0.191078186035
0.041,88.6558227539,-0.196418762207
0.042,87.7139282227,-0.201759338379
0.043,87.242980957,-0.206718444824
0.044,86.7720336914,-0.212059020996
0.045,85.8301391602,-0.217399597168
0.046,84.8882446289,-0.222358703613
0.047,84.4172973633,-0.227699279785
0.048,83.9463500977,-0.232276916504
0.049,83.475402832,-0.237617492676
0.05,82.5335083008,-0.242576599121
0.051,82.0625610352,-0.247917175293
0.052,81.5916137695,-0.252494812012
0.053,81.1206665039,-0.257453918457
0.054,80.6497192383,-0.262031555176
0.055,79.707824707,-0.266990661621
0.056,79.2368774414,-0.271949768066
0.057,78.2949829102,-0.276908874512
0.058,77.8240356445,-0.281105041504
0.059,76.8821411133,-0.285682678223
0.06,76.4111938477,-0.290641784668
0.061,75.4692993164,-0.29483795166
0.062,74.5274047852,-0.299797058105
0.063,74.0800048828,-0.303993225098
0.064,73.6090576172,-0.308570861816
0.065,72.6671630859,-0.312767028809
0.066,71.7252685547,-0.317344665527
0.067,70.7833740234,-0.32154083252
0.068,70.3124267578,-0.325736999512
0.069,69.3705322266,-0.329933166504
0.07,68.4286376953,-0.334510803223
0.071,67.4867431641,-0.337944030762
0.072,66.0739013672,-0.342140197754
0.073,65.1320068359,-0.346336364746
0.074,64.1901123047,-0.349769592285
0.075,63.2482177734,-0.353965759277
0.076,62.3063232422,-0.357780456543
0.077,61.3644287109,-0.361194610596
0.078,59.9515869141,-0.365009307861
0.079,59.4806396484,-0.3684425354
0.08,58.5387451172,-0.372257232666
0.081,57.5968505859,-0.375308990479
0.082,56.6549560547,-0.378742218018
0.083,55.7130615234,-0.382175445557
0.084,54.7711669922,-0.385608673096
0.085,53.8292724609,-0.389041900635
0.086,52.8873779297,-0.391712188721
0.087,51.9454833984,-0.39514541626
0.088,50.5326416016,-0.397815704346
0.089,49.1197998047,-0.400867462158
0.09,48.6488525391,-0.403919219971
0.091,47.7069580078,-0.406970977783
0.092,46.2941162109,-0.409641265869
