"Latest: Time (s)","Latest: Potential (mV)"
0,-12.9275024414
0.001,-12.9275024414
0.002,-12.9275024414
0.003,-12.9275024414
0.004,-12.9275024414
0.005,-12.4565551758
0.006,-12.9275024414
0.007,-12.9275024414
0.008,-12.9275024414
0.009,-12.4565551758
0.01,-12.4565551758
0.011,-12.4565551758
0.012,-12.9275024414
0.013,-12.4565551758
0.014,-12.4565551758
0.015,-12.4565551758
0.016,-12.4565551758
0.017,-12.4565551758
0.018,-12.4565551758
0.019,-12.4565551758
0.02,-12.4565551758
0.021,-12.4565551758
0.022,-12.4565551758
0.023,-11.9856079102
0.024,-12.4565551758
0.025,-11.9856079102
0.026,-11.9856079102
0.027,-12.4565551758
0.028,-11.9856079102
0.029,-11.9856079102
0.03,-11.9856079102
0.031,-11.9856079102
0.032,-11.5146606445
0.033,-11.5146606445
0.034,-11.9856079102
0.035,-11.5146606445
0.036,-11.5146606445
0.037,-11.5146606445
0.038,-11.0437133789
0.039,-11.5146606445
0.04,-11.5146606445
0.041,-11.5146606445
0.042,-11.0437133789
0.043,-11.0437133789
0.044,-11.0437133789
0.045,-11.0437133789
0.046,-11.0437133789
0.047,-10.5727661133
0.048,-11.0437133789
0.049,-10.5727661133
0.05,-10.5727661133
0.051,-10.5727661133
0.052,-10.1018188477
0.053,-10.5727661133
0.054,-10.5727661133
0.055,-11.0437133789
0.056,-11.5146606445
0.057,-11.5146606445
0.058,-11.5146606445
0.059,-11.5146606445
0.06,-11.5146606445
0.061,-11.5146606445
0.062,-11.5146606445
0.063,-11.5146606445
0.064,-11.5146606445
0.065,-11.9856079102
0.066,-11.9856079102
0.067,-12.4565551758
0.068,-13.4219970703
0.069,-13.4219970703
0.07,-13.4219970703
0.071,-12.9275024414
0.072,-12.9275024414
0.073,-12.9275024414
0.074,-13.4219970703
0.075,-12.4565551758
0.076,-12.4565551758
0.077,-12.4565551758
0.078,-11.9856079102
0.079,-11.9856079102
0.08,-11.9856079102
0.081,-11.9856079102
0.082,-12.4565551758
0.083,-12.4565551758
0.084,-11.9856079102
0.085,-11.5146606445
0.086,-11.5146606445
0.087,-10.5727661133
0.088,-9.15992431641
0.089,-11.0437133789
0.09,-11.9856079102
0.091,-11.9856079102
0.092,-11.9856079102
0.093,-11.9856079102
0.094,-11.9856079102
0.095,-11.5146606445
0.096,-11.5146606445
0.097,-11.5146606445
0.098,-11.5146606445
0.099,-11.0437133789
0.1,-11.0437133789
0.101,-11.0437133789
0.102,-11.0437133789
0.103,-10.1018188477
0.104,-10.5727661133
0.105,-9.63087158203
0.106,-9.63087158203
0.107,-9.15992431641
0.108,-7.74708251953
0.109,-7.27613525391
0.11,-7.27613525391
0.111,-8.21802978516
0.112,-8.21802978516
0.113,-8.68897705078
0.114,-8.68897705078
0.115,-8.21802978516
0.116,-7.27613525391
0.117,-6.33424072266
0.118,-5.39234619141
0.119,-5.39234619141
0.12,-4.92139892578
0.121,-3.50855712891
0.122,-3.50855712891
0.123,-3.03760986328
0.124,-2.56666259766
0.125,1.20091552734
0.126,2.14281005859
0.127,2.61375732422
0.128,2.14281005859
0.129,-0.211926269531
0.13,0.729968261719
0.131,-0.682873535156
0.132,-3.03760986328
0.133,-3.03760986328
0.134,-5.86329345703
0.135,-6.80518798828
0.136,-7.27613525391
0.137,-6.33424072266
0.138,-5.39234619141
0.139,-5.39234619141
0.14,-5.86329345703
0.141,-4.92139892578
0.142,-5.39234619141
0.143,-4.92139892578
0.144,-4.45045166016
0.145,-4.45045166016
0.146,-3.97950439453
0.147,-4.92139892578
0.148,-4.45045166016
0.149,-4.92139892578
0.15,-6.33424072266
0.151,-6.33424072266
0.152,-6.33424072266
0.153,-6.33424072266
0.154,-6.33424072266
0.155,-6.80518798828
0.156,-5.86329345703
0.157,-6.33424072266
0.158,-6.80518798828
0.159,-6.33424072266
0.16,-5.39234619141
0.161,-4.45045166016
0.162,-6.33424072266
0.163,-5.86329345703
0.164,-4.92139892578
0.165,-4.45045166016
0.166,-5.39234619141
0.167,-4.92139892578
0.168,-4.92139892578
0.169,-5.86329345703
0.17,-5.39234619141
0.171,-5.39234619141
0.172,-5.39234619141
0.173,-6.33424072266
0.174,-4.45045166016
0.175,-4.45045166016
0.176,-3.50855712891
0.177,-3.03760986328
0.178,-3.03760986328
0.179,-3.03760986328
0.18,-2.56666259766
0.181,-2.56666259766
0.182,-3.03760986328
