"Latest: Time (s)","Latest: Potential (mV)"
0,423.169665527
0.001,976.721081543
0.002,1245.98518066
0.003,1245.04328613
0.004,1246.9270752
0.005,1245.04328613
0.006,1232.32770996
0.007,726.31842041
0.008,163.795458984
0.009,1.41284179688
0.01,0.94189453125
0.011,0.470947265625
0.012,1.41284179688
0.013,1.41284179688
0.014,266.414868164
0.015,821.873620605
0.016,1245.98518066
0.017,1246.9270752
0.018,1245.98518066
0.019,1247.39802246
0.02,1246.45612793
0.021,883.04967041
0.022,322.904992676
0.023,0.94189453125
0.024,0.94189453125
0.025,0.94189453125
0.026,0.94189453125
0.027,1.41284179688
0.028,117.195227051
0.029,666.531665039
0.03,1196.08831787
0.031,1245.04328613
0.032,1247.39802246
0.033,1246.9270752
0.034,1245.98518066
0.035,1026.14699707
0.036,478.717895508
0.037,1.41284179688
0.038,0.94189453125
0.039,0.94189453125
0.04,0.94189453125
0.041,1.41284179688
0.042,1.41284179688
0.043,507.422131348
0.044,1051.57814941
0.045,1246.9270752
0.046,1246.9270752
0.047,1245.04328613
0.048,1247.39802246
0.049,1175.36663818
0.05,654.287036133
0.051,93.2004638672
0.052,0.94189453125
0.053,0.94189453125
0.054,0.94189453125
0.055,1.41284179688
0.056,1.41284179688
0.057,331.382043457
0.058,890.113879395
0.059,1246.9270752
0.06,1245.04328613
0.061,1246.9270752
0.062,1245.98518066
0.063,1245.98518066
0.064,818.576989746
0.065,253.699291992
0.066,1.41284179688
0.067,0.94189453125
0.068,0.94189453125
0.069,0.94189453125
0.07,1.41284179688
0.071,176.981982422
0.072,731.969787598
0.073,1245.98518066
0.074,1246.9270752
0.075,1245.98518066
0.076,1245.98518066
0.077,1247.39802246
0.078,972.03515625
0.079,416.105456543
0.08,1.41284179688
0.081,0.94189453125
0.082,0.94189453125
0.083,0.94189453125
0.084,1.41284179688
0.085,33.8846557617
0.086,570.976464844
0.087,1113.24869385
0.088,1246.45612793
0.089,1245.5142334
0.09,1246.9270752
0.091,1245.04328613
0.092,1117.01627197
0.093,579.924462891
0.094,21.1690795898
0.095,1.41284179688
0.096,0.94189453125
0.097,0.94189453125
0.098,1.41284179688
0.099,1.41284179688
0.1,407.628405762
0.101,964.029052734
0.102,1245.98518066
0.103,1247.39802246
0.104,1245.5142334
0.105,1245.98518066
0.106,1247.39802246
0.107,741.836132812
0.108,176.511035156
0.109,1.41284179688
0.11,0.94189453125
0.111,0.94189453125
0.112,1.41284179688
0.113,1.41284179688
0.114,251.368103027
0.115,809.628991699
0.116,1247.39802246
0.117,1245.98518066
0.118,1245.98518066
0.119,1246.9270752
0.12,1245.98518066
0.121,897.649035645
