"Latest: Time (s)","Latest: Potential 2 (mV)","Run 1: Time (s)","Run 1: Potential 1 (V)"
0,533.324230957,0,0.0173950195313
0.001,532.382336426,0.001,0.0173950195313
0.002,531.440441895,0.002,-0.00091552734375
0.003,530.969494629,0.003,0.0173950195313
0.004,530.027600098,0.004,-0.00091552734375
0.005,529.085705566,0.005,0.0173950195313
0.006,528.143811035,0.006,0.0173950195313
0.007,527.201916504,0.007,0.0173950195313
0.008,526.730969238,0.008,0.0173950195313
0.009,525.789074707,0.009,-0.00091552734375
0.01,525.318127441,0.01,-0.00091552734375
0.011,524.37623291,0.011,0.0173950195313
0.012,523.905285645,0.012,0.0173950195313
0.013,522.963391113,0.013,-0.00091552734375
0.014,522.021496582,0.014,-0.00091552734375
0.015,521.550549316,0.015,-0.00091552734375
0.016,521.079602051,0.016,0.0173950195313
0.017,520.608654785,0.017,0.0173950195313
0.018,520.13770752,0.018,-0.00091552734375
0.019,519.666760254,0.019,0.0173950195313
0.02,519.666760254,0.02,0.0173950195313
0.021,519.195812988,0.021,-0.00091552734375
0.022,518.724865723,0.022,0.0173950195313
0.023,518.724865723,0.023,0.0173950195313
0.024,518.724865723,0.024,0.0173950195313
0.025,518.724865723,0.025,-0.00091552734375
0.026,518.253918457,0.026,0.0173950195313
0.027,518.253918457,0.027,0.0173950195313
0.028,518.253918457,0.028,0.0173950195313
0.029,518.724865723,0.029,-0.00091552734375
0.03,518.724865723,0.03,0.0173950195313
0.031,518.724865723,0.031,-0.00091552734375
0.032,519.195812988,0.032,-0.00091552734375
0.033,519.195812988,0.033,0.0173950195313
0.034,519.666760254,0.034,-0.00091552734375
0.035,520.13770752,0.035,0.0173950195313
0.036,520.608654785,0.036,0.0173950195313
0.037,521.079602051,0.037,0.0173950195313
0.038,522.021496582,0.038,0.0173950195313
0.039,522.963391113,0.039,0.0173950195313
0.04,523.434338379,0.04,0.0173950195313
0.041,523.905285645,0.041,0.0173950195313
0.042,524.37623291,0.042,0.0173950195313
0.043,525.318127441,0.043,0.0173950195313
0.044,526.260021973,0.044,-0.00091552734375
0.045,526.730969238,0.045,-0.00091552734375
0.046,527.67286377,0.046,0.0173950195313
0.047,528.143811035,0.047,-0.00091552734375
0.048,529.556652832,0.048,-0.00091552734375
0.049,530.498547363,0.049,0.0173950195313
0.05,530.969494629,0.05,0.0173950195313
0.051,531.91138916,0.051,0.0173950195313
0.052,532.853283691,0.052,0.0173950195313
0.053,533.795178223,0.053,0.0173950195313
0.054,534.266125488,0.054,-0.00091552734375
0.055,535.20802002,0.055,-0.00091552734375
0.056,536.149914551,0.056,0.0173950195313
0.057,536.620861816,0.057,-0.00091552734375
0.058,537.562756348,0.058,0.0173950195313
0.059,538.504650879,0.059,-0.00091552734375
0.06,538.975598145,0.06,0.0173950195313
0.061,539.917492676,0.061,0.0173950195313
0.062,540.859387207,0.062,0.0173950195313
0.063,541.306787109,0.063,0.0173950195313
0.064,541.777734375,0.064,0.0173950195313
0.065,542.719628906,0.065,0.0173950195313
0.066,543.190576172,0.066,-0.00091552734375
0.067,543.661523438,0.067,-0.00091552734375
0.068,543.661523438,0.068,-0.00091552734375
0.069,544.603417969,0.069,0.0173950195313
0.07,544.603417969,0.07,0.0173950195313
0.071,545.074365234,0.071,-0.00091552734375
0.072,545.5453125,0.072,0.0173950195313
0.073,545.5453125,0.073,0.0173950195313
0.074,545.5453125,0.074,-0.00091552734375
0.075,546.016259766,0.075,0.0173950195313
0.076,545.5453125,0.076,-0.00091552734375
0.077,545.5453125,0.077,-0.00091552734375
0.078,545.5453125,0.078,-0.00091552734375
0.079,545.074365234,0.079,0.0173950195313
0.08,545.5453125,0.08,0.0173950195313
0.081,545.074365234,0.081,0.0173950195313
0.082,544.603417969,0.082,-0.00091552734375
0.083,544.603417969,0.083,-0.00091552734375
0.084,544.132470703,0.084,-0.00091552734375
0.085,543.661523438,0.085,0.0173950195313
0.086,543.190576172,0.086,-0.00091552734375
0.087,542.719628906,0.087,0.0173950195313
0.088,542.248681641,0.088,0.0173950195313
0.089,541.777734375,0.089,-0.00091552734375
0.09,540.859387207,0.09,0.0173950195313
0.091,540.388439941,0.091,0.0173950195313
0.092,539.44654541,0.092,0.0173950195313
0.093,538.975598145,0.093,0.0173950195313
0.094,538.975598145,0.094,0.0173950195313
0.095,537.562756348,0.095,0.0173950195313
0.096,536.620861816,0.096,-0.00091552734375
0.097,536.149914551,0.097,0.0173950195313
0.098,535.20802002,0.098,0.0173950195313
0.099,534.266125488,0.099,0.0173950195313
0.1,533.324230957,0.1,-0.00091552734375
0.101,532.382336426,0.101,0.0173950195313
0.102,531.440441895,0.102,-0.00091552734375
0.103,530.969494629,0.103,0.0173950195313
0.104,530.027600098,0.104,-0.00091552734375
0.105,529.085705566,0.105,0.0173950195313
0.106,528.614758301,0.106,-0.00091552734375
0.107,527.67286377,0.107,0.0173950195313
0.108,526.730969238,0.108,0.0173950195313
0.109,526.260021973,0.109,0.0173950195313
0.11,525.318127441,0.11,-0.00091552734375
0.111,524.37623291,0.111,0.0173950195313
0.112,523.905285645,0.112,0.0173950195313
0.113,522.963391113,0.113,0.0173950195313
0.114,522.021496582,0.114,0.0173950195313
0.115,521.550549316,0.115,-0.00091552734375
0.116,521.079602051,0.116,-0.00091552734375
0.117,520.608654785,0.117,0.0173950195313
0.118,520.13770752,0.118,-0.00091552734375
0.119,519.666760254,0.119,-0.00091552734375
0.12,519.195812988,0.12,0.0173950195313
0.121,519.195812988,0.121,0.0173950195313
0.122,518.724865723,0.122,0.0173950195313
0.123,518.724865723,0.123,0.0173950195313
0.124,518.724865723,0.124,0.0173950195313
0.125,518.253918457,0.125,0.0173950195313
0.126,518.253918457,0.126,0.0173950195313
0.127,518.253918457,0.127,-0.00091552734375
0.128,518.724865723,0.128,-0.00091552734375
0.129,518.253918457,0.129,-0.00091552734375
0.13,518.724865723,0.13,0.0173950195313
0.131,518.724865723,0.131,-0.00091552734375
0.132,519.195812988,0.132,0.0173950195313
0.133,519.666760254,0.133,0.0173950195313
0.134,519.666760254,0.134,-0.00091552734375
0.135,520.13770752,0.135,0.0173950195313
0.136,520.608654785,0.136,-0.00091552734375
0.137,521.550549316,0.137,0.0173950195313
0.138,522.021496582,0.138,-0.00091552734375
0.139,522.963391113,0.139,0.0173950195313
0.14,523.434338379,0.14,-0.00091552734375
0.141,523.905285645,0.141,0.0173950195313
0.142,524.847180176,0.142,-0.00091552734375
0.143,525.789074707,0.143,-0.00091552734375
0.144,526.260021973,0.144,0.0173950195313
0.145,527.201916504,0.145,-0.00091552734375
0.146,527.67286377,0.146,0.0173950195313
0.147,528.614758301,0.147,-0.00091552734375
0.148,529.556652832,0.148,0.0173950195313
0.149,530.027600098,0.149,0.0173950195313
0.15,531.440441895,0.15,0.0173950195313
0.151,531.440441895,0.151,0.0173950195313
0.152,532.853283691,0.152,0.0173950195313
0.153,533.795178223,0.153,0.0173950195313
0.154,534.266125488,0.154,0.0173950195313
0.155,535.20802002,0.155,0.0173950195313
0.156,536.149914551,0.156,0.0173950195313
0.157,537.091809082,0.157,0.0173950195313
0.158,537.562756348,0.158,-0.00091552734375
0.159,538.504650879,0.159,0.0173950195313
0.16,539.44654541,0.16,0.0173950195313
0.161,539.917492676,0.161,0.0173950195313
0.162,540.388439941,0.162,0.0173950195313
0.163,541.306787109,0.163,0.0173950195313
0.164,541.777734375,0.164,-0.00091552734375
0.165,542.248681641,0.165,0.0173950195313
0.166,542.719628906,0.166,0.0173950195313
0.167,543.190576172,0.167,-0.00091552734375
0.168,544.132470703,0.168,0.0173950195313
0.169,544.132470703,0.169,-0.00091552734375
0.17,544.603417969,0.17,-0.00091552734375
0.171,545.074365234,0.171,0.0173950195313
0.172,545.074365234,0.172,0.0173950195313
0.173,545.074365234,0.173,0.0173950195313
0.174,545.5453125,0.174,0.0173950195313
0.175,546.016259766,0.175,0.0173950195313
0.176,545.5453125,0.176,0.0173950195313
0.177,545.5453125,0.177,-0.00091552734375
0.178,545.5453125,0.178,-0.00091552734375
0.179,545.5453125,0.179,0.0173950195313
0.18,545.5453125,0.18,0.0173950195313
0.181,545.074365234,0.181,-0.00091552734375
0.182,545.074365234,0.182,0.0173950195313
0.183,544.603417969,0.183,-0.00091552734375
0.184,544.132470703,0.184,0.0173950195313
0.185,543.661523438,0.185,0.0173950195313
0.186,543.190576172,0.186,0.0173950195313
0.187,542.719628906,0.187,0.0173950195313
0.188,542.248681641,0.188,-0.00091552734375
0.189,541.777734375,0.189,0.0173950195313
0.19,540.859387207,0.19,-0.00091552734375
0.191,540.388439941,0.191,0.0173950195313
0.192,539.44654541,0.192,0.0173950195313
0.193,538.975598145,0.193,-0.00091552734375
0.194,538.033703613,0.194,0.0173950195313
0.195,537.562756348,0.195,-0.00091552734375
0.196,536.620861816,0.196,-0.00091552734375
0.197,535.678967285,0.197,0.0173950195313
0.198,534.737072754,0.198,0.0173950195313
0.199,534.266125488,0.199,0.0173950195313
0.2,533.324230957,0.2,-0.00091552734375
0.201,532.382336426,0.201,-0.00091552734375
0.202,531.440441895,0.202,-0.00091552734375
0.203,530.498547363,0.203,-0.00091552734375
0.204,530.027600098,0.204,0.0173950195313
0.205,529.085705566,0.205,0.0173950195313
0.206,528.143811035,0.206,0.0173950195313
0.207,527.201916504,0.207,0.0173950195313
0.208,526.730969238,0.208,-0.00091552734375
0.209,526.260021973,0.209,0.0173950195313
0.21,525.318127441,0.21,0.0173950195313
0.211,524.37623291,0.211,0.0173950195313
0.212,523.905285645,0.212,-0.00091552734375
0.213,522.963391113,0.213,0.0173950195313
0.214,522.021496582,0.214,-0.00091552734375
0.215,521.550549316,0.215,0.0173950195313
0.216,521.079602051,0.216,-0.00091552734375
0.217,520.608654785,0.217,-0.00091552734375
0.218,520.13770752,0.218,0.0173950195313
0.219,519.666760254,0.219,0.0173950195313
0.22,519.666760254,0.22,0.0173950195313
0.221,519.195812988,0.221,0.0173950195313
0.222,519.195812988,0.222,-0.00091552734375
0.223,518.253918457,0.223,0.0173950195313
0.224,518.253918457,0.224,0.0173950195313
0.225,518.253918457,0.225,0.0173950195313
0.226,517.782971191,0.226,-0.00091552734375
0.227,518.253918457,0.227,0.0173950195313
0.228,518.253918457,0.228,0.0173950195313
0.229,518.253918457,0.229,0.0173950195313
0.23,518.724865723,0.23,0.0173950195313
0.231,518.724865723,0.231,0.0173950195313
0.232,519.195812988,0.232,-0.00091552734375
0.233,519.666760254,0.233,-0.00091552734375
0.234,519.666760254,0.234,0.0173950195313
0.235,520.13770752,0.235,0.0173950195313
0.236,520.608654785,0.236,0.0173950195313
0.237,521.079602051,0.237,-0.00091552734375
0.238,521.550549316,0.238,0.0173950195313
0.239,522.963391113,0.239,-0.00091552734375
0.24,523.434338379,0.24,0.0173950195313
0.241,523.905285645,0.241,0.0173950195313
