"Latest: Time (s)","Latest: Potential 2 (mV)","Run 1: Time (s)","Run 1: Potential 1 (V)"
0,502.241711426,0,0.0173950195313
0.001,505.538342285,0.001,0.0173950195313
0.002,508.364025879,0.002,-0.00091552734375
0.003,511.660656738,0.003,0.0173950195313
0.004,514.486340332,0.004,-0.00091552734375
0.005,517.782971191,0.005,0.0173950195313
0.006,521.079602051,0.006,0.0173950195313
0.007,524.847180176,0.007,0.0173950195313
0.008,528.143811035,0.008,0.0173950195313
0.009,531.440441895,0.009,-0.00091552734375
0.01,534.737072754,0.01,-0.00091552734375
0.011,538.033703613,0.011,0.0173950195313
0.012,541.306787109,0.012,0.0173950195313
0.013,544.603417969,0.013,-0.00091552734375
0.014,547.900048828,0.014,-0.00091552734375
0.015,551.196679688,0.015,-0.00091552734375
0.016,554.493310547,0.016,0.0173950195313
0.017,556.848046875,0.017,0.0173950195313
0.018,560.144677734,0.018,-0.00091552734375
0.019,562.970361328,0.019,0.0173950195313
0.02,565.796044922,0.02,0.0173950195313
0.021,568.15078125,0.021,-0.00091552734375
0.022,570.505517578,0.022,0.0173950195313
0.023,572.860253906,0.023,0.0173950195313
0.024,574.744042969,0.024,0.0173950195313
0.025,577.098779297,0.025,-0.00091552734375
0.026,578.511621094,0.026,0.0173950195313
0.027,579.924462891,0.027,0.0173950195313
0.028,581.337304688,0.028,0.0173950195313
0.029,582.750146484,0.029,-0.00091552734375
0.03,583.692041016,0.03,0.0173950195313
0.031,584.633935547,0.031,-0.00091552734375
0.032,585.575830078,0.032,-0.00091552734375
0.033,585.575830078,0.033,0.0173950195313
0.034,586.046777344,0.034,-0.00091552734375
0.035,586.046777344,0.035,0.0173950195313
0.036,585.575830078,0.036,0.0173950195313
0.037,585.104882813,0.037,0.0173950195313
0.038,584.633935547,0.038,0.0173950195313
0.039,583.692041016,0.039,0.0173950195313
0.04,581.808251953,0.04,0.0173950195313
0.041,581.337304688,0.041,0.0173950195313
0.042,579.453515625,0.042,0.0173950195313
0.043,578.040673828,0.043,0.0173950195313
0.044,576.156884766,0.044,-0.00091552734375
0.045,573.802148438,0.045,-0.00091552734375
0.046,571.918359375,0.046,0.0173950195313
0.047,569.563623047,0.047,-0.00091552734375
0.048,566.737939453,0.048,-0.00091552734375
0.049,564.383203125,0.049,0.0173950195313
0.05,561.557519531,0.05,0.0173950195313
0.051,558.260888672,0.051,0.0173950195313
0.052,555.906152344,0.052,0.0173950195313
0.053,552.138574219,0.053,0.0173950195313
0.054,549.312890625,0.054,-0.00091552734375
0.055,546.016259766,0.055,-0.00091552734375
0.056,542.719628906,0.056,0.0173950195313
0.057,539.44654541,0.057,-0.00091552734375
0.058,536.149914551,0.058,0.0173950195313
0.059,532.382336426,0.059,-0.00091552734375
0.06,529.085705566,0.06,0.0173950195313
0.061,525.318127441,0.061,0.0173950195313
0.062,522.492443848,0.062,0.0173950195313
0.063,518.724865723,0.063,0.0173950195313
0.064,515.428234863,0.064,0.0173950195313
0.065,512.131604004,0.065,0.0173950195313
0.066,508.834973145,0.066,-0.00091552734375
0.067,506.009289551,0.067,-0.00091552734375
0.068,503.183605957,0.068,-0.00091552734375
