"Latest: Time (s)","Latest: Potential (mV)"
0,0.494494628906
0.001,-2.33118896484
0.002,-2.33118896484
0.003,-5.15687255859
0.004,-10.3372924805
0.005,-8.92445068359
0.006,-6.09876708984
0.007,-5.15687255859
0.008,-4.68592529297
0.009,-4.21497802734
0.01,-7.04066162109
0.011,-6.56971435547
0.012,-6.56971435547
0.013,0.965441894531
0.014,4.26207275391
0.015,0.494494628906
0.016,-3.27308349609
0.017,-0.918347167969
0.018,-2.33118896484
0.019,-3.27308349609
0.02,-2.33118896484
0.021,-6.56971435547
0.022,-9.39539794922
0.023,-8.92445068359
0.024,-7.04066162109
0.025,-5.15687255859
0.026,-5.62781982422
0.027,-3.74403076172
0.028,-4.21497802734
0.029,-6.56971435547
0.03,-8.45350341797
0.031,-7.51160888672
0.032,-9.86634521484
0.033,-13.1865234375
0.034,-7.98255615234
0.035,-4.68592529297
0.036,-2.80213623047
0.037,-1.86024169922
0.038,-1.38929443359
0.039,-1.38929443359
0.04,-1.38929443359
0.041,-1.38929443359
0.042,-1.38929443359
0.043,-1.38929443359
0.044,-1.38929443359
0.045,-1.38929443359
0.046,-1.38929443359
0.047,-1.86024169922
0.048,-1.38929443359
0.049,-1.38929443359
0.05,-0.918347167969
0.051,-1.38929443359
0.052,-0.918347167969
0.053,-0.918347167969
0.054,-1.38929443359
0.055,-0.918347167969
0.056,-0.918347167969
0.057,-0.918347167969
0.058,-0.918347167969
0.059,-0.918347167969
0.06,-0.918347167969
0.061,-0.918347167969
0.062,-0.918347167969
0.063,-0.918347167969
0.064,-0.918347167969
0.065,-0.918347167969
0.066,-0.918347167969
0.067,-0.918347167969
0.068,-0.918347167969
0.069,-0.918347167969
0.07,-0.918347167969
0.071,-0.918347167969
0.072,-0.918347167969
0.073,-0.918347167969
0.074,-0.918347167969
0.075,-0.918347167969
0.076,-0.918347167969
0.077,-1.38929443359
0.078,-0.918347167969
0.079,-1.38929443359
0.08,-0.918347167969
0.081,-0.918347167969
0.082,-0.918347167969
0.083,-0.918347167969
0.084,-1.38929443359
0.085,-0.918347167969
0.086,-1.38929443359
0.087,-0.918347167969
0.088,-1.38929443359
0.089,-1.38929443359
0.09,-0.918347167969
0.091,-1.38929443359
0.092,-1.38929443359
0.093,-0.918347167969
