"Latest: Time (s)","Latest: Potential (mV)"
0,1098.64932861
0.001,0.94189453125
0.002,0.94189453125
0.003,830.798071289
0.004,1246.9270752
0.005,796.442468262
0.006,0.94189453125
0.007,1.41284179688
0.008,1118.90006104
0.009,1247.39802246
0.01,453.75769043
0.011,1.41284179688
0.012,114.369543457
0.013,1245.04328613
0.014,1247.39802246
0.015,107.776281738
0.016,0.94189453125
0.017,421.75682373
0.018,1245.98518066
0.019,1151.84282227
0.02,1.41284179688
0.021,1.41284179688
0.022,761.615917969
0.023,1246.45612793
0.024,863.293432617
0.025,0.94189453125
0.026,1.41284179688
0.027,1075.10196533
0.028,1246.9270752
0.029,525.318127441
0.03,0.94189453125
0.031,60.7051025391
0.032,1234.21149902
0.033,1247.39802246
0.034,176.040087891
0.035,0.94189453125
0.036,355.847753906
0.037,1245.04328613
0.038,1199.38494873
0.039,1.41284179688
0.04,1.41284179688
0.041,693.352111816
0.042,1245.98518066
0.043,926.376818848
0.044,0.94189453125
0.045,1.41284179688
0.046,1023.32131348
0.047,1245.98518066
0.048,594.029333496
0.049,0.94189453125
0.05,10.3608398438
0.051,1212.57147217
0.052,1246.9270752
0.053,242.891052246
0.054,0.94189453125
0.055,294.671704102
0.056,1245.5142334
0.057,1240.80476074
0.058,1.8837890625
0.059,1.41284179688
0.06,628.879431152
0.061,1245.5142334
0.062,982.37244873
0.063,0.94189453125
0.064,1.8837890625
0.065,965.441894531
0.066,1245.98518066
0.067,659.467456055
0.068,0.94189453125
0.069,1.41284179688
0.07,1187.61126709
0.071,1246.45612793
0.072,310.189416504
0.073,0.94189453125
0.074,232.530212402
0.075,1246.45612793
0.076,1247.39802246
0.077,1.8837890625
0.078,1.41284179688
0.079,560.144677734
0.08,1245.04328613
0.081,1042.63015137
0.082,0.94189453125
0.083,1.41284179688
0.084,897.649035645
0.085,1245.04328613
0.086,729.144104004
0.087,0.94189453125
0.088,0.94189453125
0.089,1156.08134766
0.09,1245.98518066
0.091,381.27890625
0.092,0.94189453125
0.093,172.743457031
0.094,1246.9270752
0.095,1246.45612793
0.096,39.5360229492
0.097,0.94189453125
0.098,490.962524414
0.099,1246.45612793
0.1,1098.64932861
0.101,1.41284179688
0.102,1.41284179688
0.103,830.798071289
0.104,1245.5142334
0.105,795.50057373
0.106,0.94189453125
0.107,1.41284179688
0.108,1119.3710083
0.109,1245.04328613
0.11,451.873901367
0.111,0.94189453125
0.112,115.782385254
0.113,1246.45612793
0.114,1245.98518066
0.115,106.85793457
0.116,1.41284179688
0.117,425.05345459
0.118,1247.39802246
0.119,1148.54619141
0.12,0.94189453125
0.121,0.94189453125
0.122,763.499707031
0.123,1246.9270752
0.124,862.351538086
0.125,1.41284179688
0.126,1.41284179688
0.127,1074.63101807
0.128,1245.5142334
0.129,525.318127441
0.13,0.94189453125
0.131,60.7051025391
0.132,1233.74055176
0.133,1245.98518066
0.134,176.511035156
0.135,0.94189453125
0.136,355.376806641
0.137,1246.9270752
0.138,1199.855896
0.139,1.41284179688
0.14,0.94189453125
0.141,691.468322754
0.142,1246.9270752
0.143,927.766113281
0.144,0.94189453125
0.145,1.41284179688
0.146,1020.99012451
0.147,1247.39802246
0.148,597.325964355
0.149,1.41284179688
0.15,6.12231445313
0.151,1211.15863037
0.152,1245.5142334
0.153,247.129577637
0.154,1.41284179688
0.155,289.020336914
0.156,1246.9270752
0.157,1245.98518066
0.158,1.41284179688
0.159,1.41284179688
0.16,621.815222168
0.161,1246.9270752
0.162,989.90760498
0.163,1.41284179688
0.164,1.41284179688
0.165,957.906738281
0.166,1246.9270752
0.167,667.002612305
0.168,1.41284179688
0.169,1.41284179688
0.17,1184.31463623
0.171,1247.39802246
0.172,317.724572754
0.173,0.94189453125
0.174,225.936950684
0.175,1245.5142334
0.176,1245.98518066
0.177,1.8837890625
0.178,0.94189453125
0.179,552.138574219
0.18,1246.9270752
0.181,1049.22341309
0.182,0.94189453125
0.183,1.41284179688
0.184,891.055773926
0.185,1246.9270752
0.186,736.655712891
0.187,0.94189453125
0.188,1.41284179688
0.189,1152.31376953
0.19,1246.9270752
0.191,388.8140625
0.192,0.94189453125
0.193,166.150195312
0.194,1245.98518066
0.195,1247.86896973
0.196,46.6002319336
0.197,0.94189453125
0.198,484.369262695
