"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0,0.166931152344,-0.0091552734375,3.98178100586
0.001,0.166931152344,-0.0129699707031,3.98178100586
0.002,0.16731262207,-0.0091552734375,3.98178100586
0.003,0.166931152344,-0.00534057617188,3.97796630859
0.004,0.16731262207,-0.00152587890625,3.97796630859
0.005,0.166931152344,-0.0091552734375,3.97415161133
0.006,0.166931152344,-0.0129699707031,3.97796630859
0.007,0.166931152344,-0.0205993652344,3.98178100586
0.008,0.166931152344,-0.0320434570313,3.97796630859
0.009,0.166931152344,-0.0320434570313,3.98178100586
0.01,0.16731262207,-0.0320434570313,3.98178100586
0.011,0.166931152344,-0.0320434570313,3.98178100586
0.012,0.166931152344,-0.0282287597656,3.97415161133
0.013,0.166931152344,-0.0205993652344,3.97415161133
0.014,0.166931152344,-0.0205993652344,3.97415161133
0.015,0.166931152344,-0.0205993652344,3.98178100586
0.016,0.166931152344,-0.0167846679688,3.97415161133
0.017,0.166931152344,-0.0091552734375,3.98178100586
0.018,0.166931152344,-0.00534057617188,3.98178100586
0.019,0.166931152344,0.00228881835938,3.97415161133
0.02,-0.0484657287598,0.0175476074219,-3.94172668457
0.021,-0.126609802246,0.0137329101563,-3.91120910645
0.022,-0.153675079346,-0.00534057617188,-3.90357971191
0.023,-0.162448883057,-0.0129699707031,-3.89976501465
0.024,-0.165863037109,-0.0205993652344,-3.89976501465
0.025,-0.167007446289,-0.0244140625,-3.89976501465
0.026,-0.167388916016,-0.0244140625,-3.89976501465
0.027,-0.167388916016,-0.0282287597656,-3.89595031738
0.028,-0.167388916016,-0.0282287597656,-3.89976501465
0.029,-0.167770385742,-0.0282287597656,-3.89595031738
0.03,-0.167388916016,-0.0282287597656,-3.89595031738
0.031,-0.167388916016,-0.0205993652344,-3.89595031738
0.032,-0.167770385742,-0.0091552734375,-3.89595031738
0.033,-0.167770385742,-0.00534057617188,-3.89976501465
0.034,-0.167770385742,-0.00534057617188,-3.90357971191
0.035,-0.167770385742,-0.00534057617188,-3.90357971191
0.036,-0.167770385742,-0.00534057617188,-3.89976501465
0.037,-0.167770385742,-0.0129699707031,-3.89976501465
0.038,-0.167770385742,-0.0129699707031,-3.89595031738
0.039,-0.167388916016,-0.0091552734375,-3.89595031738
0.04,-0.167770385742,-0.0129699707031,-3.89595031738
0.041,-0.167770385742,-0.0205993652344,-3.89976501465
