"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
0,,,0.631713867188
0.001,,,0.631713867188
0.002,,,0.631713867188
0.003,,,0.631713867188
0.004,,,0.635528564453
0.005,,,0.635528564453
0.006,,,0.631713867188
0.007,,,0.631713867188
0.008,,,0.627899169922
0.009,,,0.631713867188
0.01,,,0.631713867188
0.011,,,0.631713867188
0.012,,,0.631713867188
0.013,,,0.631713867188
0.014,,,0.631713867188
0.015,,,0.631713867188
0.016,,,0.631713867188
0.017,,,0.635528564453
0.018,,,0.639343261719
0.019,,,0.631713867188
0.02,,,0.631713867188
0.021,,,0.643157958984
0.022,,,0.631713867188
0.023,,,0.631713867188
0.024,,,0.639343261719
0.025,,,0.631713867188
0.026,,,0.631713867188
0.027,,,0.627899169922
0.028,,,-5.67951202393
0.029,,,-2.40573883057
0.03,,,-1.22051239014
0.031,,,-0.816535949707
0.032,,,-0.675582885742
0.033,,,-0.625991821289
0.034,,,-0.606918334961
0.035,,,-0.59928894043
0.036,,,-0.59928894043
0.037,,,-0.59928894043
0.038,,,-0.595474243164
0.039,,,-0.59928894043
0.04,,,-0.595474243164
0.041,,,-0.595474243164
0.042,,,-0.59928894043
0.043,,,-0.595474243164
0.044,,,-0.59928894043
0.045,,,-0.595474243164
0.046,,,-0.59928894043
0.047,,,-0.59928894043
0.048,,,-0.595474243164
0.049,,,-0.59928894043
0.05,,,-0.59928894043
0.051,,,-0.603103637695
0.052,,,-0.603103637695
0.053,,,-0.603103637695
0.054,,,-0.59928894043
0.055,,,-0.59928894043
0.056,,,-0.59928894043
0.057,,,-0.59928894043
0.058,,,-0.603103637695
0.059,,,-0.603103637695
0.06,,,-0.59928894043
0.061,,,-0.603103637695
0.062,,,-0.603103637695
0.063,,,-0.603103637695
0.064,,,-0.603103637695
0.065,,,-0.603103637695
0.066,,,-0.59928894043
0.067,,,-0.603103637695
0.068,,,-0.603103637695
0.069,,,-0.606918334961
0.07,,,-0.59928894043
0.071,,,-0.603103637695
0.072,,,-0.603103637695
0.073,,,-0.603103637695
0.074,,,-0.603103637695
0.075,,,-0.603103637695
0.076,,,-0.603103637695
0.077,,,-0.603103637695
0.078,,,6.25
0.079,,,2.58674621582
0.08,,,1.30252838135
0.081,,,0.864219665527
0.082,,,0.715637207031
0.083,,,0.658416748047
0.084,,,0.64697265625
0.085,,,0.635528564453
0.086,,,0.631713867188
0.087,,,0.631713867188
0.088,,,0.631713867188
0.089,,,0.631713867188
0.09,,,0.631713867188
0.091,,,0.627899169922
0.092,,,0.631713867188
0.093,,,0.631713867188
0.094,,,0.631713867188
0.095,,,0.631713867188
0.096,,,0.627899169922
0.097,,,0.624084472656
0.098,,,0.631713867188
0.099,,,0.627899169922
0.1,,,0.631713867188
0.101,,,0.631713867188
0.102,,,0.627899169922
0.103,,,0.631713867188
0.104,,,0.627899169922
0.105,,,0.631713867188
0.106,,,0.635528564453
0.107,,,0.627899169922
0.108,,,0.627899169922
0.109,,,0.631713867188
0.11,,,0.631713867188
0.111,,,0.631713867188
0.112,,,0.631713867188
0.113,,,0.631713867188
0.114,,,0.631713867188
0.115,,,0.627899169922
0.116,,,0.627899169922
0.117,,,0.631713867188
0.118,,,0.635528564453
