"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
0,,0.166931152344,0.627899169922
0.001,,0.166931152344,0.627899169922
0.002,,0.166931152344,0.627899169922
0.003,,0.166931152344,0.627899169922
0.004,,0.166931152344,0.624084472656
0.005,,0.166931152344,0.627899169922
0.006,,0.166931152344,0.624084472656
0.007,,0.166931152344,0.624084472656
0.008,,0.166931152344,0.624084472656
0.009,,0.166931152344,0.624084472656
0.01,,0.166931152344,0.624084472656
0.011,,0.166931152344,0.624084472656
0.012,,0.166931152344,0.624084472656
0.013,,0.166931152344,0.624084472656
0.014,,0.166931152344,0.624084472656
0.015,,0.166931152344,0.624084472656
0.016,,-0.0130081176758,-3.7130355835
0.017,,-0.114784240723,-1.67026519775
0.018,,-0.149478912354,-0.961303710938
0.019,,-0.16092300415,-0.724983215332
0.02,,-0.165481567383,-0.637435913086
0.021,,-0.167007446289,-0.610733032227
0.022,,-0.167007446289,-0.603103637695
0.023,,-0.167388916016,-0.59928894043
0.024,,-0.167388916016,-0.603103637695
0.025,,-0.167770385742,-0.59928894043
0.026,,-0.167770385742,-0.59928894043
0.027,,-0.167388916016,-0.595474243164
0.028,,-0.167770385742,-0.595474243164
0.029,,-0.167770385742,-0.595474243164
0.03,,-0.167388916016,-0.59928894043
0.031,,-0.167770385742,-0.595474243164
0.032,,-0.167388916016,-0.59928894043
0.033,,-0.167388916016,-0.595474243164
0.034,,-0.167388916016,-0.595474243164
0.035,,-0.167388916016,-0.59928894043
0.036,,-0.167770385742,-0.59928894043
0.037,,-0.167388916016,-0.59928894043
0.038,,-0.167388916016,-0.59928894043
0.039,,-0.167770385742,-0.59928894043
0.04,,-0.167770385742,-0.59928894043
0.041,,-0.167770385742,-0.59928894043
0.042,,-0.167388916016,-0.59928894043
0.043,,-0.167388916016,-0.595474243164
0.044,,-0.167770385742,-0.595474243164
0.045,,-0.167388916016,-0.595474243164
0.046,,-0.167388916016,-0.595474243164
0.047,,-0.167770385742,-0.591659545898
0.048,,-0.167388916016,-0.595474243164
0.049,,-0.167388916016,-0.595474243164
