"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0,0.0323486328125,0.641441345215,-0.110054016113
0.001,0.0216865539551,0.435638427734,-0.14820098877
0.002,0.0113868713379,0.226020812988,-0.193977355957
0.003,0.000724792480469,0.0164031982422,-0.224494934082
0.004,-0.00957489013672,-0.193405151367,-0.266456604004
0.005,-0.0202560424805,-0.399208068848,-0.304412841797
0.006,-0.0305366516113,-0.601196289063,-0.342559814453
0.007,-0.0408363342285,-0.810813903809,-0.376892089844
0.008,-0.0507545471191,-1.01299285889,-0.403594970703
0.009,-0.06103515625,-1.21116638184,-0.434112548828
0.01,-0.0705718994141,-1.40171051025,-0.468444824219
0.011,-0.0797271728516,-1.58863067627,-0.491142272949
0.012,-0.0892448425293,-1.77154541016,-0.517845153809
0.013,-0.0980186462402,-1.94683074951,-0.540733337402
0.014,-0.105648040771,-2.10704803467,-0.563621520996
0.015,-0.11402130127,-2.26707458496,-0.582695007324
0.016,-0.121650695801,-2.41203308105,-0.597953796387
0.017,-0.128517150879,-2.54535675049,-0.62084197998
0.018,-0.13500213623,-2.67887115479,-0.628471374512
0.019,-0.141086578369,-2.79693603516,-0.636100769043
0.02,-0.146808624268,-2.90756225586,-0.64754486084
0.021,-0.151386260986,-2.99911499023,-0.64754486084
0.022,-0.155582427979,-3.08666229248,-0.651359558105
0.023,-0.159015655518,-3.15914154053,-0.64754486084
0.024,-0.16206741333,-3.22017669678,-0.64754486084
0.025,-0.16471862793,-3.25832366943,-0.636100769043
0.026,-0.166625976563,-3.29265594482,-0.628471374512
0.027,-0.167388916016,-3.31153869629,-0.624656677246
0.028,-0.167770385742,-3.31535339355,-0.613212585449
0.029,-0.167770385742,-3.31535339355,-0.597953796387
0.03,-0.166625976563,-3.30028533936,-0.578880310059
0.031,-0.165100097656,-3.26976776123,-0.555992126465
0.032,-0.162448883057,-3.22399139404,-0.52547454834
0.033,-0.159397125244,-3.16677093506,-0.506401062012
0.034,-0.156345367432,-3.09047698975,-0.479888916016
0.035,-0.152149200439,-3.01818847656,-0.453186035156
0.036,-0.147571563721,-2.92663574219,-0.422668457031
0.037,-0.142612457275,-2.82363891602,-0.388336181641
0.038,-0.136127471924,-2.70938873291,-0.35400390625
0.039,-0.130043029785,-2.57968902588,-0.327301025391
0.04,-0.123176574707,-2.45018005371,-0.29296875
0.041,-0.115928649902,-2.30140686035,-0.255012512207
0.042,-0.107917785645,-2.14138031006,-0.216865539551
0.043,-0.0995445251465,-1.97734832764,-0.174903869629
0.044,-0.0907707214355,-1.80206298828,-0.129127502441
0.045,-0.0819969177246,-1.62296295166,-0.0871658325195
0.046,-0.0728607177734,-1.43985748291,-0.0492095947266
0.047,-0.0629425048828,-1.24549865723,-0.00724792480469
0.048,-0.0534057617188,-1.05113983154,0.0308990478516
0.049,-0.0431251525879,-0.848960876465,0.0728607177734
0.05,-0.0328254699707,-0.643157958984,0.11100769043
0.051,-0.0225448608398,-0.437355041504,0.152778625488
0.052,-0.0118637084961,-0.231552124023,0.190925598145
0.053,-0.00156402587891,-0.0217437744141,0.225257873535
0.054,0.00909805297852,0.187873840332,0.263404846191
0.055,0.0193977355957,0.397491455078,0.301551818848
0.056,0.0296974182129,0.599479675293,0.339508056641
0.057,0.0403594970703,0.801658630371,0.377655029297
0.058,0.0502777099609,1.00364685059,0.408172607422
0.059,0.0597953796387,1.20182037354,0.442504882813
0.06,0.0697135925293,1.39636993408,0.473022460938
0.061,0.0792503356934,1.58309936523,0.495910644531
0.062,0.0883865356445,1.76219940186,0.518798828125
0.063,0.0967788696289,1.93386077881,0.541496276855
0.064,0.10555267334,2.10914611816,0.564384460449
0.065,0.113182067871,2.26535797119,0.583457946777
