"Latest: Time (min)","Latest: Potential (mV)","Latest: Position (m)","Latest: Velocity (m/min)","Latest: Acceleration (m/min²)"
0.001,108.459155273,0.3092145,1.16238888889,-9.1837191358
0.002,8.24157714844,0.310415,1.13142361111,28.8347608025
0.003,135.279602051,0.311444,1.16048333333,90.6329861111
0.004,3.53210449219,0.3126445,1.28148611111,165.69070216
0.005,42.1262329102,0.313845,1.54826388889,170.930979938
0.006,136.692443848,0.3157315,1.79122222222,4.81682098765
0.007,9.65441894531,0.3177895,1.65783333333,-261.219907407
0.008,115.052416992,0.319333,1.20526388889,-461.038580247
0.009,2.59020996094,0.320362,0.576430555556,-491.34220679
0.01,35.0620239258,0.320362,0.0666944444444,-355.571373457
0.011,131.04107666,0.3201905,-0.142916666667,-194.525462963
0.012,11.0672607422,0.320019,-0.247722222222,-99.9093364198
0.013,169.635205078,0.319676,-0.309652777778,-49.3591820988
0.014,4.00305175781,0.319333,-0.309652777778,-41.0223765432
0.015,46.8121582031,0.3191615,-0.390638888889,-39.9637345679
0.016,130.570129395,0.3184755,-0.409694444444,-26.9953703704
0.017,10.5963134766,0.318304,-0.404930555556,-47.3742283951
0.018,158.332470703,0.3177895,-0.500208333333,-70.6643518519
0.019,3.53210449219,0.317275,-0.581194444444,-60.8719135802
0.02,36.4748657227,0.316589,-0.628833333333,-31.6269290123
0.021,103.278735352,0.3160745,-0.690763888889,45.1246141975
0.022,9.65441894531,0.3150455,-0.585958333333,154.164737654
0.023,147.500683594,0.3147025,-0.300125,175.072916667
0.024,2.59020996094,0.314531,-0.104805555556,67.2237654321
0.025,35.0620239258,0.3147025,-0.119097222222,-87.8672839506
0.026,83.9934448242,0.314531,-0.371583333333,-160.384259259
0.027,7.29968261719,0.313845,-0.543083333333,-132.46257716
0.028,119.761889648,0.3133305,-0.619305555556,-107.452160494
0.029,2.59020996094,0.3126445,-0.714583333333,-114.201003086
0.03,34.1201293945,0.3119585,-0.8575,-108.775462963
0.031,96.6854736328,0.3109295,-0.986125,-49.8885030864
0.032,9.65441894531,0.3099005,-1.00994444444,51.4764660494
0.033,138.57623291,0.3087,-0.843208333333,104.673225309
0.034,3.06115722656,0.3081855,-0.657416666667,18.9232253086
0.035,39.3005493164,0.307671,-0.747930555556,-123.728780864
0.036,130.099182129,0.3068135,-0.976597222222,-193.731481481
0.037,13.8929443359,0.3057845,-1.26243055556,-133.388888889
0.038,120.70378418,0.3040695,-1.33388888889,20.2465277778
0.039,1.64831542969,0.302869,-1.157625,122.537808642
0.04,27.9978149414,0.30184,-1.01470833333,148.871527778
0.041,99.9821044922,0.300811,-0.847972222222,147.548225309
0.042,11.5382080078,0.300125,-0.681236111111,110.098765432
0.043,117.40715332,0.2996105,-0.647888888889,91.3078703704
0.044,2.11926269531,0.298753,-0.552611111111,115.788966049
0.045,22.8173950195,0.29841,-0.381111111111,105.334876543
0.046,40.2424438477,0.298067,-0.285833333333,39.4344135802
0.047,4.94494628906,0.2978955,-0.266777777778,-59.5486111111
0.048,75.516394043,0.297724,-0.433513888889,-126.507716049
0.049,1.64831542969,0.297038,-0.614541666667,-99.6446759259
0.05,23.7592895508,0.296352,-0.666944444444,-29.7743055556
0.051,45.8702636719,0.295666,-0.662180555556,40.6253858025
0.052,5.41589355469,0.29498,-0.585958333333,115.656635802
0.053,82.1096557617,0.2944655,-0.452569444444,207.361496914
0.054,1.64831542969,0.293951,-0.185791666667,301.977623457
0.055,19.9917114258,0.293951,0.219138888889,319.974537037
0.056,39.3005493164,0.2944655,0.552611111111,225.09375
0.057,4.47399902344,0.2951515,0.747930555556,39.4344135802
0.058,76.9292358398,0.2961805,0.686,-195.319444444
0.059,1.64831542969,0.2968665,0.276305555556,-347.366898148
0.06,28.9397094727,0.296695,-0.138152777778,-365.893132716
0.061,51.992578125,0.2965235,-0.495444444444,-328.046682099
0.062,5.88684082031,0.295666,-0.805097222222,-267.174768519
0.063,70.8069213867,0.2948085,-1.00518055556,-216.227623457
0.064,0.706420898438,0.2937795,-1.27672222222,-120.817515432
0.065,12.4801025391,0.2920645,-1.33865277778,59.2839506173
0.066,13.8929443359,0.290864,-1.14809722222,228.93132716
0.067,1.17736816406,0.2896635,-0.814625,323.415123457
0.068,19.9917114258,0.289149,-0.400166666667,300.654320988
0.069,-0.235473632813,0.2889775,-0.109569444444,163.560185185
0.07,6.35778808594,0.289149,-0.0524027777778,-6.61651234568
0.071,9.18347167969,0.2889775,-0.147680555556,-154.164737654
0.072,0.706420898438,0.2889775,-0.390638888889,-260.028935185
0.073,17.1895751953,0.2882915,-0.738402777778,-282.52507716
0.074,0.235473632813,0.287434,-1.01947222222,-228.269675926
0.075,5.41589355469,0.2862335,-1.25290277778,-113.671682099
0.076,4.94494628906,0.28469,-1.24813888889,-1.58796296296
0.077,-0.235473632813,0.283661,-1.16238888889,19.849537037
0.078,10.1253662109,0.2824605,-1.15286111111,-15.0856481482
0.079,-0.235473632813,0.2814315,-1.21002777778,-41.0223765432
0.08,4.00305175781,0.2800595,-1.29101388889,-20.7758487654
0.081,4.94494628906,0.2786875,-1.23861111111,-10.0570987654
0.082,0.706420898438,0.2776585,-1.25290277778,-46.1832561728
0.083,17.1895751953,0.2762865,-1.35294444444,-61.0042438272
0.084,0.235473632813,0.2749145,-1.42916666667,-18.1292438272
0.085,4.00305175781,0.273371,-1.42916666667,76.619212963
0.086,0.706420898438,0.271999,-1.329125,218.874228395
0.087,-0.706420898438,0.2704555,-0.976597222222,332.545910494
0.088,5.88684082031,0.269941,-0.524027777778,300.918981481
0.089,-0.235473632813,0.269598,-0.262013888889,148.739197531
0.09,3.53210449219,0.269598,-0.204847222222,-31.8915895062
0.091,6.35778808594,0.2694265,-0.400166666667,-142.519675926
0.092,1.64831542969,0.2687405,-0.576430555556,-163.295524691
0.093,52.4635253906,0.268226,-0.724111111111,-167.133101852
0.094,1.64831542969,0.2673685,-0.924194444444,-142.122685185
0.095,28.468762207,0.2663395,-1.06711111111,-54.9170524691
0.096,46.3412109375,0.265139,-1.09093055556,85.4853395062
0.097,7.77062988281,0.2639385,-0.886083333333,208.155478395
0.098,98.0983154297,0.2632525,-0.566902777778,219.53587963
0.099,2.11926269531,0.2629095,-0.347763888889,129.683641975
0.1,29.4106567383,0.262738,-0.304888888889,30.3036265432
0.101,43.0681274414,0.262395,-0.366819444444,-0.264660493826
0.102,8.24157714844,0.2618805,-0.338236111111,0.926311728394
0.103,113.16862793,0.261709,-0.309652777778,-45.1246141975
0.104,2.11926269531,0.261366,-0.390638888889,-122.802469136
0.105,30.3525512695,0.261023,-0.571666666667,-175.205246914
0.106,29.8816040039,0.260337,-0.843208333333,-122.802469136
0.107,4.47399902344,0.2591365,-0.914666666667,24.2164351852
0.108,61.4115234375,0.258279,-0.757458333333,139.873070988
0.109,1.17736816406,0.257593,-0.543083333333,164.61882716
0.11,34.1201293945,0.25725,-0.376347222222,126.772376543
0.111,51.5216308594,0.256907,-0.281069444444,68.2824074074
0.112,10.5963134766,0.2567355,-0.247722222222,6.21952160494
0.113,127.744445801,0.2563925,-0.238194444444,-84.294367284
0.114,3.06115722656,0.2563925,-0.371583333333,-204.847222222
0.115,44.4809692383,0.255878,-0.719347222222,-249.177854938
0.116,53.8763671875,0.254849,-0.981361111111,-174.146604938
0.117,10.5963134766,0.25382,-1.12427777778,-27.9216820988
0.118,119.290942383,0.252448,-1.071875,148.606867284
0.119,2.59020996094,0.251419,-0.762222222222,249.574845679
0.12,44.0100219727,0.2509045,-0.433513888889,210.53742284
